candidate_id,beta_flex,beta_extend,minimum_warp_derivative,warped_phase_min,warped_phase_max,q_closure_error_rad,dq_closure_error_rad_s,ddq_closure_error_rad_s2,branch_anchor_q_max_error_rad,branch_anchor_dq_max_error_rad_s,branch_anchor_ddq_max_error_rad_s2,peak_abs_knee_dq_deg_s,rms_knee_dq_deg_s,peak_abs_knee_ddq_deg_s2,rms_knee_ddq_deg_s2,peak_abs_knee_jerk_deg_s3,rms_knee_jerk_deg_s3,kinematic_gate_pass
MYOLEG_V3_K0010,-0.03,-0.005,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.31757034209829,11.618990821048671,16.87446243162595,5.990470181339811,116.06324038737841,22.620081735644547,True
MYOLEG_V3_K0011,-0.03,-0.0025,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.315198396421966,11.6170510678419,16.945534181989466,6.012644660575381,128.11485656355535,23.571656506785786,True
MYOLEG_V3_K0012,-0.03,0.0,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.290056421386033,11.615516461292456,17.826758226796514,6.059932367316355,171.58937243907474,25.901863622550295,True
MYOLEG_V3_K0013,-0.03,0.0025,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.314630669960493,11.614394589395726,17.865212079480465,6.03415572163709,141.23249587058237,23.602122200457792,True
MYOLEG_V3_K0014,-0.03,0.005,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.371180414327203,11.613682278954865,17.89797162406506,6.03322161019341,110.64710342409822,22.65885152408334,True
MYOLEG_V3_K0015,-0.03,0.0075,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.418255555050578,11.613372481624296,17.924953109095192,6.057345405199173,135.34652626527935,23.251712418822827,True
MYOLEG_V3_K0016,-0.03,0.01,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.418600416398924,11.613464984587337,17.94607278312255,6.096336934341877,168.8268843037757,24.71372898056276,True
MYOLEG_V3_K0017,-0.03,0.0125,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.514885086683094,11.61396789111763,18.42832285967733,6.09493839604264,138.34003903761916,23.535943959767238,True
MYOLEG_V3_K0018,-0.03,0.015,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.616864610630216,11.61487454344304,19.1336424547948,6.104251249272001,107.57446725364329,22.840299486309874,True
MYOLEG_V3_K0019,-0.03,0.0175,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.670776504568437,11.61617701942805,19.18761383075747,6.1351505694201505,146.80403839323492,23.488075543264365,True
MYOLEG_V3_K0020,-0.03,0.02,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.69770847157522,11.617879907357395,19.236135979165837,6.169220561156629,169.39979209628154,24.389698766051563,True
MYOLEG_V3_K0021,-0.03,0.0225,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.856772910770637,11.619986701491118,19.279124433876387,6.176422509711225,138.62039526569848,23.54398727206733,True
MYOLEG_V3_K0022,-0.03,0.025,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.968470969733104,11.622482588667868,19.316494728764795,6.200841899342472,129.22125481815627,23.383948930056878,True
MYOLEG_V3_K0023,-0.03,0.0275,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.032417606193224,11.625364525185285,19.741422595163087,6.240346997020313,155.56153811782542,24.126821717638453,True
MYOLEG_V3_K0024,-0.03,0.03,0.8969656089543516,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29.1233380058049,11.628652067795604,20.709464944166353,6.2722053432028515,174.05830523484076,24.50407605317542,True
