subject_i,subject_j,all_candidate_kendall_tau_b,all_candidate_rank_inversion_rate,all_candidate_crossover_exists,deterministic_subset_count,subset_kendall_tau_b,subset_rank_inversion_rate,subset_crossover_exists
MYOLEG_VP_003,MYOLEG_VP_025,0.9886698464369831,0.00566507678150846,True,512,0.9892062133072408,0.005396893346379605,True
MYOLEG_VP_003,MYOLEG_VP_026,0.9839254895761907,0.008037255211904626,True,512,0.9845431751467711,0.007728412426614428,True
MYOLEG_VP_003,MYOLEG_VP_027,0.9925763063052856,0.003711846847357203,True,512,0.9930436643835618,0.0034781678082190792,True
MYOLEG_VP_003,MYOLEG_VP_029,0.9911852494048047,0.00440737529759766,True,512,0.9917899951076323,0.004105002446183836,True
MYOLEG_VP_003,MYOLEG_VP_030,0.9766744191776008,0.011662790411199608,True,512,0.976791829745597,0.011604085127201513,True
MYOLEG_VP_003,MYOLEG_VP_031,0.9844990638901493,0.007750468054925352,True,512,0.9847419275929551,0.007629036203522455,True
MYOLEG_VP_005,MYOLEG_VP_006,0.9904206227221043,0.004789688638947853,True,512,0.9909185420743643,0.004540728962817875,True
MYOLEG_VP_005,MYOLEG_VP_007,0.9883356342699468,0.005832182865026625,True,512,0.9880901418786694,0.005954929060665304,True
MYOLEG_VP_005,MYOLEG_VP_009,0.9900264621197857,0.0049867689401071336,True,512,0.9901541095890413,0.004922945205479368,True
MYOLEG_VP_005,MYOLEG_VP_010,0.9914867755039358,0.004256612248032088,True,512,0.9917594178082193,0.004120291095890349,True
MYOLEG_VP_005,MYOLEG_VP_011,0.993374683654934,0.0033126581725330118,True,512,0.9931201076320941,0.0034399461839529355,True
MYOLEG_VP_005,MYOLEG_VP_013,0.9945283781283162,0.002735810935841909,True,512,0.9941444471624267,0.002927776418786665,True
MYOLEG_VP_005,MYOLEG_VP_014,0.9965054248694294,0.0017472875652853048,True,512,0.9964836105675148,0.0017581947162426115,True
MYOLEG_VP_005,MYOLEG_VP_015,0.9881437906451597,0.005928104677420165,True,512,0.9887934197651664,0.0056032901174167815,True
MYOLEG_VP_005,MYOLEG_VP_017,0.9939960929934457,0.003001953503277144,True,512,0.994083292563601,0.0029583537181995245,True
MYOLEG_VP_005,MYOLEG_VP_018,0.9955497026585665,0.00222514867071677,True,512,0.9951076320939336,0.0024461839530331986,True
MYOLEG_VP_005,MYOLEG_VP_019,0.9940292969743988,0.0029853515128006047,True,512,0.994083292563601,0.0029583537181995245,True
MYOLEG_VP_005,MYOLEG_VP_021,0.9963631426460214,0.001818428676989281,True,512,0.9960402397260275,0.001979880136986245,True
MYOLEG_VP_005,MYOLEG_VP_022,0.990743541507404,0.004628229246298021,True,512,0.9912548923679063,0.0043725538160468425,True
MYOLEG_VP_005,MYOLEG_VP_023,0.9927393769829731,0.0036303115085134507,True,512,0.9928754892367908,0.0035622553816045954,True
MYOLEG_VP_005,MYOLEG_VP_025,0.9916275615340944,0.004186219232952815,True,512,0.9912701810176127,0.004364909491193669,True
MYOLEG_VP_005,MYOLEG_VP_026,0.9882178090515736,0.005891095474213182,True,512,0.9878302348336596,0.0060848825831701925,True
MYOLEG_VP_005,MYOLEG_VP_027,0.9960008624690893,0.001999568765455373,True,512,0.9958414872798437,0.0020792563600781633,True
MYOLEG_VP_005,MYOLEG_VP_029,0.9831352981299922,0.008432350935003885,True,512,0.9840080724070452,0.007995963796477379,True
MYOLEG_VP_005,MYOLEG_VP_030,0.9845886484609441,0.007705675769527964,True,512,0.9843597113502937,0.007820144324853173,True
MYOLEG_VP_005,MYOLEG_VP_031,0.9925956848851574,0.003702157557421315,True,512,0.9924932729941294,0.003753363502935314,True
MYOLEG_VP_006,MYOLEG_VP_007,0.9788028979392995,0.010598551030350234,True,512,0.9791004158512722,0.010449792074363917,True
MYOLEG_VP_006,MYOLEG_VP_009,0.9806817569984351,0.009659121500782464,True,512,0.9813478473581214,0.009326076320939292,True
MYOLEG_VP_006,MYOLEG_VP_010,0.9962150051278786,0.0018924974360606805,True,512,0.9964377446183955,0.0017811276908022422,True
MYOLEG_VP_006,MYOLEG_VP_011,0.983821230802375,0.008089384598812477,True,512,0.984069227005871,0.00796538649706452,True
MYOLEG_VP_006,MYOLEG_VP_013,0.9850379380299056,0.00748103098504721,True,512,0.9852770303326811,0.0073614848336594485,True
