record_type,metric,dimension,inward_step_count,subject_id,boundary_candidate_id,inward_candidate_id,inward_delta_from_boundary,slope_toward_boundary_per_unit,improves_toward_boundary,improvement_support_fraction
SUBJECT,J,knee,3,MYOLEG_VP_027,MYOLEG_V2_P20850,MYOLEG_V2_P20775,0.0037902778059064612,-0.005053703741208615,True,
SUBJECT,J,knee,3,MYOLEG_VP_029,MYOLEG_V2_P20850,MYOLEG_V2_P20775,0.0036860562507318173,-0.004914741667642423,True,
SUBJECT,J,knee,3,MYOLEG_VP_030,MYOLEG_V2_P20850,MYOLEG_V2_P20775,0.0034725148626467695,-0.004630019816862359,True,
SUBJECT,J,knee,3,MYOLEG_VP_031,MYOLEG_V2_P20850,MYOLEG_V2_P20775,0.003683961714027184,-0.004911948952036245,True,
SUMMARY,J,knee,3,ALL_DEVELOPMENT,MYOLEG_V2_P20850,MYOLEG_V2_P20775,0.0036880710441106745,-0.004917428058814233,,1.0
SUBJECT,J,phase,1,MYOLEG_VP_001,MYOLEG_V2_P20850,MYOLEG_V2_P20851,4.140329084878491e-05,-0.016561316339513965,True,
SUBJECT,J,phase,1,MYOLEG_VP_002,MYOLEG_V2_P20850,MYOLEG_V2_P20851,5.469325679774428e-05,-0.021877302719097713,True,
SUBJECT,J,phase,1,MYOLEG_VP_003,MYOLEG_V2_P20850,MYOLEG_V2_P20851,4.8122783603443686e-05,-0.019249113441377474,True,
SUBJECT,J,phase,1,MYOLEG_VP_005,MYOLEG_V2_P20850,MYOLEG_V2_P20851,5.5486784194203054e-05,-0.02219471367768122,True,
SUBJECT,J,phase,1,MYOLEG_VP_006,MYOLEG_V2_P20850,MYOLEG_V2_P20851,5.046212392245675e-05,-0.0201848495689827,True,
SUBJECT,J,phase,1,MYOLEG_VP_007,MYOLEG_V2_P20850,MYOLEG_V2_P20851,5.418775729670866e-05,-0.021675102918683464,True,
SUBJECT,J,phase,1,MYOLEG_VP_009,MYOLEG_V2_P20850,MYOLEG_V2_P20851,4.6533725677644355e-05,-0.018613490271057742,True,
SUBJECT,J,phase,1,MYOLEG_VP_010,MYOLEG_V2_P20850,MYOLEG_V2_P20851,5.3961655441026046e-05,-0.02158466217641042,True,
SUBJECT,J,phase,1,MYOLEG_VP_011,MYOLEG_V2_P20850,MYOLEG_V2_P20851,5.570968011725519e-05,-0.022283872046902076,True,
SUBJECT,J,phase,1,MYOLEG_VP_013,MYOLEG_V2_P20850,MYOLEG_V2_P20851,5.382170501366801e-05,-0.021528682005467203,True,
SUBJECT,J,phase,1,MYOLEG_VP_014,MYOLEG_V2_P20850,MYOLEG_V2_P20851,5.181123772080021e-05,-0.020724495088320083,True,
SUBJECT,J,phase,1,MYOLEG_VP_015,MYOLEG_V2_P20850,MYOLEG_V2_P20851,4.882287499829996e-05,-0.019529149999319984,True,
SUBJECT,J,phase,1,MYOLEG_VP_017,MYOLEG_V2_P20850,MYOLEG_V2_P20851,4.988826638285815e-05,-0.01995530655314326,True,
SUBJECT,J,phase,1,MYOLEG_VP_018,MYOLEG_V2_P20850,MYOLEG_V2_P20851,5.0946610434143835e-05,-0.020378644173657534,True,
SUBJECT,J,phase,1,MYOLEG_VP_019,MYOLEG_V2_P20850,MYOLEG_V2_P20851,5.1769978355542534e-05,-0.020707991342217014,True,
SUBJECT,J,phase,1,MYOLEG_VP_021,MYOLEG_V2_P20850,MYOLEG_V2_P20851,5.669775610894767e-05,-0.02267910244357907,True,
SUBJECT,J,phase,1,MYOLEG_VP_022,MYOLEG_V2_P20850,MYOLEG_V2_P20851,4.749654960867211e-05,-0.018998619843468845,True,
SUBJECT,J,phase,1,MYOLEG_VP_023,MYOLEG_V2_P20850,MYOLEG_V2_P20851,4.837433876925257e-05,-0.019349735507701027,True,
SUBJECT,J,phase,1,MYOLEG_VP_025,MYOLEG_V2_P20850,MYOLEG_V2_P20851,4.173107183835789e-05,-0.016692428735343157,True,
SUBJECT,J,phase,1,MYOLEG_VP_026,MYOLEG_V2_P20850,MYOLEG_V2_P20851,3.98747312878589e-05,-0.01594989251514356,True,
SUBJECT,J,phase,1,MYOLEG_VP_027,MYOLEG_V2_P20850,MYOLEG_V2_P20851,5.6992209414685746e-05,-0.0227968837658743,True,
SUBJECT,J,phase,1,MYOLEG_VP_029,MYOLEG_V2_P20850,MYOLEG_V2_P20851,5.2947387592761075e-05,-0.02117895503710443,True,
SUBJECT,J,phase,1,MYOLEG_VP_030,MYOLEG_V2_P20850,MYOLEG_V2_P20851,4.367441976349529e-05,-0.017469767905398115,True,
SUBJECT,J,phase,1,MYOLEG_VP_031,MYOLEG_V2_P20850,MYOLEG_V2_P20851,5.178122862159462e-05,-0.02071249144863785,True,
