record_type,metric,dimension,subject_id,minus_delta_from_reference,plus_delta_from_reference,central_derivative_per_unit,central_derivative_sign,preferred_local_direction,sign_agreement_fraction,minus_improvement_fraction,plus_improvement_fraction
SUBJECT,KNEE_NORMALIZED_RMS,hip,MYOLEG_VP_001,-0.00030553916542552795,0.00030378356466886913,0.0012186454601887942,1,MINUS,,,
SUBJECT,KNEE_NORMALIZED_RMS,hip,MYOLEG_VP_002,-0.0003456457622297293,0.00034260854085466086,0.0013765086061687803,1,MINUS,,,
SUBJECT,KNEE_NORMALIZED_RMS,hip,MYOLEG_VP_003,-0.0003332016505822599,0.00033088335558617565,0.0013281700123368712,1,MINUS,,,
SUBJECT,KNEE_NORMALIZED_RMS,hip,MYOLEG_VP_005,-0.0003185508801074599,0.00031578764372097723,0.0012686770476568743,1,MINUS,,,
SUBJECT,KNEE_NORMALIZED_RMS,hip,MYOLEG_VP_006,-0.00033442467674871246,0.0003319224250485364,0.0013326942035944978,1,MINUS,,,
SUBJECT,KNEE_NORMALIZED_RMS,hip,MYOLEG_VP_007,-0.0003219022970432084,0.00031913525855098435,0.0012820751111883855,1,MINUS,,,
SUBJECT,KNEE_NORMALIZED_RMS,hip,MYOLEG_VP_009,-0.0003225900456322872,0.00032030265635718536,0.0012857854039789451,1,MINUS,,,
SUBJECT,KNEE_NORMALIZED_RMS,hip,MYOLEG_VP_010,-0.0003361074986559798,0.0003331809003174202,0.0013385767979468,1,MINUS,,,
SUBJECT,KNEE_NORMALIZED_RMS,hip,MYOLEG_VP_011,-0.00031487469920266076,0.00031214543266955275,0.001254040263744427,1,MINUS,,,
SUBJECT,KNEE_NORMALIZED_RMS,hip,MYOLEG_VP_013,-0.0003365090802361914,0.0003336794823672884,0.0013403771252069596,1,MINUS,,,
SUBJECT,KNEE_NORMALIZED_RMS,hip,MYOLEG_VP_014,-0.00033327896431256665,0.0003305487020230924,0.001327655332671318,1,MINUS,,,
SUBJECT,KNEE_NORMALIZED_RMS,hip,MYOLEG_VP_015,-0.0003142140203100663,0.0003121972275246243,0.0012528224956693812,1,MINUS,,,
SUBJECT,KNEE_NORMALIZED_RMS,hip,MYOLEG_VP_017,-0.0003210787124022785,0.00031876883262038636,0.0012796950900453297,1,MINUS,,,
SUBJECT,KNEE_NORMALIZED_RMS,hip,MYOLEG_VP_018,-0.00032255318730556315,0.0003202503385717481,0.0012856070517546225,1,MINUS,,,
SUBJECT,KNEE_NORMALIZED_RMS,hip,MYOLEG_VP_019,-0.00034358918250021464,0.0003408475527819643,0.001368873470564358,1,MINUS,,,
SUBJECT,KNEE_NORMALIZED_RMS,hip,MYOLEG_VP_021,-0.0003414822230701775,0.0003383567066449489,0.0013596778594302528,1,MINUS,,,
SUBJECT,KNEE_NORMALIZED_RMS,hip,MYOLEG_VP_022,-0.00034465189781807126,0.00034226618815536014,0.0013738361719468628,1,MINUS,,,
SUBJECT,KNEE_NORMALIZED_RMS,hip,MYOLEG_VP_023,-0.0003158414420439959,0.0003134971369220807,0.0012586771579321532,1,MINUS,,,
SUBJECT,KNEE_NORMALIZED_RMS,hip,MYOLEG_VP_025,-0.0003215024996320315,0.00031961604606067784,0.0012822370913854186,1,MINUS,,,
SUBJECT,KNEE_NORMALIZED_RMS,hip,MYOLEG_VP_026,-0.000314610285151562,0.0003129262650782838,0.0012550731004596916,1,MINUS,,,
SUBJECT,KNEE_NORMALIZED_RMS,hip,MYOLEG_VP_027,-0.0003350897038119083,0.0003319762421197803,0.001334131891863377,1,MINUS,,,
SUBJECT,KNEE_NORMALIZED_RMS,hip,MYOLEG_VP_029,-0.00032848539338803384,0.00032590786572450625,0.0013087865182250802,1,MINUS,,,
SUBJECT,KNEE_NORMALIZED_RMS,hip,MYOLEG_VP_030,-0.0003156918821801691,0.0003137726205977298,0.0012589290055557978,1,MINUS,,,
SUBJECT,KNEE_NORMALIZED_RMS,hip,MYOLEG_VP_031,-0.0003257046492418647,0.0003231586652434615,0.0012977266289706524,1,MINUS,,,
SUMMARY,KNEE_NORMALIZED_RMS,hip,ALL_DEVELOPMENT,,,,,,1.0,1.0,0.0
SUBJECT,KNEE_NORMALIZED_RMS,knee,MYOLEG_VP_001,0.002171400669876311,-0.0021332977566566047,-0.008609396853065832,-1,PLUS,,,
SUBJECT,KNEE_NORMALIZED_RMS,knee,MYOLEG_VP_002,0.002456527540976028,-0.0024541581801290624,-0.00982137144221018,-1,PLUS,,,
SUBJECT,KNEE_NORMALIZED_RMS,knee,MYOLEG_VP_003,0.002370054921002618,-0.0023514693037061107,-0.009443048449417457,-1,PLUS,,,
SUBJECT,KNEE_NORMALIZED_RMS,knee,MYOLEG_VP_005,0.002404833176872234,-0.002393396116191826,-0.00959645858612812,-1,PLUS,,,
SUBJECT,KNEE_NORMALIZED_RMS,knee,MYOLEG_VP_006,0.0023949079956236963,-0.002379798237609476,-0.009549412466466345,-1,PLUS,,,
SUBJECT,KNEE_NORMALIZED_RMS,knee,MYOLEG_VP_007,0.0024118083249644595,-0.0024014662389735264,-0.009626549127875972,-1,PLUS,,,
SUBJECT,KNEE_NORMALIZED_RMS,knee,MYOLEG_VP_009,0.002350836091804309,-0.002331171884861094,-0.009364015953330806,-1,PLUS,,,
