case_id,axis,direction,alpha_hip,alpha_knee,alpha_phase,axis_alpha,distance_in_existing_grid_steps,J_truth,delta_J_truth_vs_reference,model_supported_at_initial_state,domain_coverage_at_initial_state,reference_near_local_delta_J,best_axis_direction_alpha,best_axis_direction_J,best_axis_direction_improvement,best_axis_direction_at_generator_boundary,truth_monotonic_improvement_from_reference_to_boundary,truth_used_for_policy_selection
baseline__hip_knee_coupling_mild,HIP,POSITIVE,1,0,0,1,4,0.997954859671,-0.00204514032905,True,100,-0.000519383774684,2,0.995965267224,0.00403473277619,True,True,False
baseline__hip_knee_coupling_mild,HIP,POSITIVE,1.25,0,0,1.25,5,0.997452640079,-0.00254735992064,False,86.0349127182,-0.000519383774684,2,0.995965267224,0.00403473277619,True,True,False
baseline__hip_knee_coupling_mild,HIP,POSITIVE,1.5,0,0,1.5,6,0.99695362591,-0.00304637409006,False,84.0399002494,-0.000519383774684,2,0.995965267224,0.00403473277619,True,True,False
baseline__hip_knee_coupling_mild,HIP,POSITIVE,1.75,0,0,1.75,7,0.996457830528,-0.00354216947228,False,82.7930174564,-0.000519383774684,2,0.995965267224,0.00403473277619,True,True,False
baseline__hip_knee_coupling_mild,HIP,POSITIVE,2,0,0,2,8,0.995965267224,-0.00403473277619,False,81.7955112219,-0.000519383774684,2,0.995965267224,0.00403473277619,True,True,False
baseline__hip_knee_coupling_mild,KNEE,NEGATIVE,0,-0.25,0,-0.25,1,0.99845904356,-0.0015409564399,True,100,-0.0015409564399,-5,0.970189195338,0.0298108046617,True,True,False
baseline__hip_knee_coupling_mild,KNEE,NEGATIVE,0,-0.5,0,-0.5,2,0.996923827554,-0.00307617244582,True,100,-0.0015409564399,-5,0.970189195338,0.0298108046617,True,True,False
baseline__hip_knee_coupling_mild,KNEE,NEGATIVE,0,-0.75,0,-0.75,3,0.995393894531,-0.00460610546901,True,100,-0.0015409564399,-5,0.970189195338,0.0298108046617,True,True,False
baseline__hip_knee_coupling_mild,KNEE,NEGATIVE,0,-1,0,-1,4,0.993869240701,-0.00613075929852,True,100,-0.0015409564399,-5,0.970189195338,0.0298108046617,True,True,False
baseline__hip_knee_coupling_mild,KNEE,NEGATIVE,0,-1.25,0,-1.25,5,0.992349862156,-0.00765013784374,True,100,-0.0015409564399,-5,0.970189195338,0.0298108046617,True,True,False
baseline__hip_knee_coupling_mild,KNEE,NEGATIVE,0,-1.5,0,-1.5,6,0.990835754866,-0.00916424513413,True,100,-0.0015409564399,-5,0.970189195338,0.0298108046617,True,True,False
baseline__hip_knee_coupling_mild,KNEE,NEGATIVE,0,-1.75,0,-1.75,7,0.989326914681,-0.0106730853189,True,99.7506234414,-0.0015409564399,-5,0.970189195338,0.0298108046617,True,True,False
baseline__hip_knee_coupling_mild,KNEE,NEGATIVE,0,-2,0,-2,8,0.987823337333,-0.0121766626666,True,99.7506234414,-0.0015409564399,-5,0.970189195338,0.0298108046617,True,True,False
baseline__hip_knee_coupling_mild,KNEE,NEGATIVE,0,-2.25,0,-2.25,9,0.986325018435,-0.0136749815647,True,99.7506234414,-0.0015409564399,-5,0.970189195338,0.0298108046617,True,True,False
baseline__hip_knee_coupling_mild,KNEE,NEGATIVE,0,-2.5,0,-2.5,10,0.98483195348,-0.0151680465197,True,99.7506234414,-0.0015409564399,-5,0.970189195338,0.0298108046617,True,True,False
baseline__hip_knee_coupling_mild,KNEE,NEGATIVE,0,-2.75,0,-2.75,11,0.983344137844,-0.016655862156,True,99.7506234414,-0.0015409564399,-5,0.970189195338,0.0298108046617,True,True,False
baseline__hip_knee_coupling_mild,KNEE,NEGATIVE,0,-3,0,-3,12,0.981861566784,-0.0181384332162,True,99.7506234414,-0.0015409564399,-5,0.970189195338,0.0298108046617,True,True,False
baseline__hip_knee_coupling_mild,KNEE,NEGATIVE,0,-3.25,0,-3.25,13,0.98038423544,-0.0196157645602,True,99.7506234414,-0.0015409564399,-5,0.970189195338,0.0298108046617,True,True,False
baseline__hip_knee_coupling_mild,KNEE,NEGATIVE,0,-3.5,0,-3.5,14,0.978912138835,-0.0210878611654,True,99.7506234414,-0.0015409564399,-5,0.970189195338,0.0298108046617,True,True,False
baseline__hip_knee_coupling_mild,KNEE,NEGATIVE,0,-3.75,0,-3.75,15,0.977445271874,-0.0225547281256,True,99.7506234414,-0.0015409564399,-5,0.970189195338,0.0298108046617,True,True,False
baseline__hip_knee_coupling_mild,KNEE,NEGATIVE,0,-4,0,-4,16,0.975983629349,-0.0240163706512,True,99.7506234414,-0.0015409564399,-5,0.970189195338,0.0298108046617,True,True,False
baseline__hip_knee_coupling_mild,KNEE,NEGATIVE,0,-4.25,0,-4.25,17,0.974527205932,-0.0254727940684,True,99.7506234414,-0.0015409564399,-5,0.970189195338,0.0298108046617,True,True,False
baseline__hip_knee_coupling_mild,KNEE,NEGATIVE,0,-4.5,0,-4.5,18,0.973075996181,-0.0269240038189,True,99.7506234414,-0.0015409564399,-5,0.970189195338,0.0298108046617,True,True,False
baseline__hip_knee_coupling_mild,KNEE,NEGATIVE,0,-4.75,0,-4.75,19,0.97162999454,-0.0283700054595,True,99.7506234414,-0.0015409564399,-5,0.970189195338,0.0298108046617,True,True,False
baseline__hip_knee_coupling_mild,KNEE,NEGATIVE,0,-5,0,-5,20,0.970189195338,-0.0298108046617,True,99.7506234414,-0.0015409564399,-5,0.970189195338,0.0298108046617,True,True,False
baseline__hip_knee_coupling_mild,KNEE,POSITIVE,0,0.25,0,0.25,1,1.00154533907,0.00154533907244,True,93.7655860349,0.00154533907244,0.25,1.00154533907,-0.00154533907244,False,False,False
baseline__hip_knee_coupling_mild,KNEE,POSITIVE,0,0.5,0,0.5,2,1.00309642555,0.00309642555224,False,84.5386533666,0.00154533907244,0.25,1.00154533907,-0.00154533907244,False,False,False
baseline__hip_knee_coupling_mild,KNEE,POSITIVE,0,0.75,0,0.75,3,1.00465280896,0.00465280896092,False,82.2942643392,0.00154533907244,0.25,1.00154533907,-0.00154533907244,False,False,False
