family,subject_a,subject_b,spearman_rank,oracle_a,oracle_b,oracle_same,oracle_distance,transfer_a_to_b_regret_pct,transfer_b_to_a_regret_pct
BETA_TIMING,MYOLEG_VP_021,MYOLEG_VP_031,0.99969622396867,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_022,MYOLEG_VP_023,0.999968246407875,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_022,MYOLEG_VP_025,0.9997262134723436,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_022,MYOLEG_VP_026,0.9995857920316126,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_022,MYOLEG_VP_027,0.9994488987677843,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_022,MYOLEG_VP_029,0.9998892152452524,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_022,MYOLEG_VP_030,0.9998034805465148,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_022,MYOLEG_VP_031,0.9999146181189527,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_023,MYOLEG_VP_025,0.9997445599922381,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_023,MYOLEG_VP_026,0.9996235435244724,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_023,MYOLEG_VP_027,0.9994047965564994,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_023,MYOLEG_VP_029,0.9998729856314997,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_023,MYOLEG_VP_030,0.9998285306025245,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_023,MYOLEG_VP_031,0.9999047392236249,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_025,MYOLEG_VP_026,0.9999520167941223,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_025,MYOLEG_VP_027,0.9985883764211939,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_025,MYOLEG_VP_029,0.9994287881594385,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_025,MYOLEG_VP_030,0.9999707161317068,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_025,MYOLEG_VP_031,0.9994884143490957,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_026,MYOLEG_VP_027,0.9982690764114913,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_026,MYOLEG_VP_029,0.9992206257221738,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_026,MYOLEG_VP_030,0.9999128540305012,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_026,MYOLEG_VP_031,0.9992954230725131,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_027,MYOLEG_VP_029,0.9997526747991146,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_027,MYOLEG_VP_030,0.9987848958746794,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_027,MYOLEG_VP_031,0.9997085725878297,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_029,MYOLEG_VP_030,0.999552274351036,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_029,MYOLEG_VP_031,0.9999862401100793,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
BETA_TIMING,MYOLEG_VP_030,MYOLEG_VP_031,0.9996059026399585,BETA_TIMING:288,BETA_TIMING:288,True,0.0,0.0,0.0
KEY_POSTURE_TIMING,MYOLEG_VP_001,MYOLEG_VP_002,0.9991215353648787,KEY_POSTURE_TIMING:383,KEY_POSTURE_TIMING:383,True,0.0,0.0,0.0
KEY_POSTURE_TIMING,MYOLEG_VP_001,MYOLEG_VP_003,0.9997853010071599,KEY_POSTURE_TIMING:383,KEY_POSTURE_TIMING:383,True,0.0,0.0,0.0
KEY_POSTURE_TIMING,MYOLEG_VP_001,MYOLEG_VP_005,0.9994554885716783,KEY_POSTURE_TIMING:383,KEY_POSTURE_TIMING:383,True,0.0,0.0,0.0
KEY_POSTURE_TIMING,MYOLEG_VP_001,MYOLEG_VP_006,0.9996782620685886,KEY_POSTURE_TIMING:383,KEY_POSTURE_TIMING:383,True,0.0,0.0,0.0
