scope,subject_id,family,method,seed,budget,status,executed_count,domain_size,coverage_fraction,recommendation_id,recommendation_E3,recommendation_feasible,full_oracle_id,full_oracle_E3,recommendation_selection_score,pool_oracle_id,pool_oracle_E3,pool_has_full_oracle,pool_has_near_oracle,exploration_regret_relative_pct,recommendation_regret_relative_pct,distance_to_full_oracle,no_feasible_candidate_in_pool
DEVELOPMENT,MYOLEG_VP_001,KEY_POSTURE_TIMING,RANDOM,1,8,complete,8,387,0.020671834625323,KEY_POSTURE_TIMING:368,0.9786651908114175,True,KEY_POSTURE_TIMING:383,0.9694288954984164,0.9786651908114175,KEY_POSTURE_TIMING:368,0.9786651908114175,False,False,0.9527563450904134,0.9527563450904134,0.21650635094610965,False
DEVELOPMENT,MYOLEG_VP_001,KEY_POSTURE_TIMING,RANDOM,2,1,complete,1,387,0.002583979328165375,KEY_POSTURE_TIMING:193,1.0,True,KEY_POSTURE_TIMING:383,0.9694288954984164,1.0,KEY_POSTURE_TIMING:193,1.0,False,False,3.1535169462703068,3.1535169462703068,0.5,False
DEVELOPMENT,MYOLEG_VP_001,KEY_POSTURE_TIMING,RANDOM,2,2,complete,2,387,0.00516795865633075,KEY_POSTURE_TIMING:324,0.9889992501472724,True,KEY_POSTURE_TIMING:383,0.9694288954984164,0.9889992501472724,KEY_POSTURE_TIMING:324,0.9889992501472724,False,False,2.018750909915291,2.018750909915291,0.649519052838329,False
DEVELOPMENT,MYOLEG_VP_001,KEY_POSTURE_TIMING,RANDOM,2,4,complete,4,387,0.0103359173126615,KEY_POSTURE_TIMING:324,0.9889992501472724,True,KEY_POSTURE_TIMING:383,0.9694288954984164,0.9889992501472724,KEY_POSTURE_TIMING:324,0.9889992501472724,False,False,2.018750909915291,2.018750909915291,0.649519052838329,False
DEVELOPMENT,MYOLEG_VP_001,KEY_POSTURE_TIMING,RANDOM,2,8,complete,8,387,0.020671834625323,KEY_POSTURE_TIMING:324,0.9889992501472724,True,KEY_POSTURE_TIMING:383,0.9694288954984164,0.9889992501472724,KEY_POSTURE_TIMING:324,0.9889992501472724,False,False,2.018750909915291,2.018750909915291,0.649519052838329,False
DEVELOPMENT,MYOLEG_VP_001,KEY_POSTURE_TIMING,RANDOM,3,1,complete,1,387,0.002583979328165375,KEY_POSTURE_TIMING:193,1.0,True,KEY_POSTURE_TIMING:383,0.9694288954984164,1.0,KEY_POSTURE_TIMING:193,1.0,False,False,3.1535169462703068,3.1535169462703068,0.5,False
DEVELOPMENT,MYOLEG_VP_001,KEY_POSTURE_TIMING,RANDOM,3,2,complete,2,387,0.00516795865633075,KEY_POSTURE_TIMING:193,1.0,True,KEY_POSTURE_TIMING:383,0.9694288954984164,1.0,KEY_POSTURE_TIMING:193,1.0,False,False,3.1535169462703068,3.1535169462703068,0.5,False
DEVELOPMENT,MYOLEG_VP_001,KEY_POSTURE_TIMING,RANDOM,3,4,complete,4,387,0.0103359173126615,KEY_POSTURE_TIMING:193,1.0,True,KEY_POSTURE_TIMING:383,0.9694288954984164,1.0,KEY_POSTURE_TIMING:193,1.0,False,False,3.1535169462703068,3.1535169462703068,0.5,False
DEVELOPMENT,MYOLEG_VP_001,KEY_POSTURE_TIMING,RANDOM,3,8,complete,8,387,0.020671834625323,KEY_POSTURE_TIMING:337,0.9784618350731225,True,KEY_POSTURE_TIMING:383,0.9694288954984164,0.9784618350731225,KEY_POSTURE_TIMING:337,0.9784618350731225,False,False,0.9317794854940791,0.9317794854940791,0.30618621784789724,False
DEVELOPMENT,MYOLEG_VP_001,KEY_POSTURE_TIMING,RANDOM,4,1,complete,1,387,0.002583979328165375,KEY_POSTURE_TIMING:193,1.0,True,KEY_POSTURE_TIMING:383,0.9694288954984164,1.0,KEY_POSTURE_TIMING:193,1.0,False,False,3.1535169462703068,3.1535169462703068,0.5,False
