subject_id,split,boundary_side,hip_deg,knee_deg,knee_velocity_deg_s,required_knee_drive_nm,subject_reference_knee_rms_nm,joint_limit_knee_contribution_nm,absolute_joint_limit_knee_contribution_nm,relative_joint_limit_contribution,joint_limit_active_count,contact_active_count,source_equality_residual_max,solver_warning_count,finite,artifact_gate_pass
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UPPER,112.0,119.0,-1.0,-3.3185783560727644e-13,11.075814287716018,0.0013884337643149535,0.0013884337643149535,0.0001253572629738691,1,0,6.661338147750939e-16,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UPPER,112.0,119.0,0.0,-3.321934041701715e-13,11.075814287716018,0.0013512082888979032,0.0013512082888979032,0.00012199629334671163,1,0,6.661338147750939e-16,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UPPER,112.0,119.0,1.0,-3.3476405236044277e-13,11.075814287716018,0.0013139851846581704,0.0013139851846581704,0.0001186355378056029,1,0,6.661338147750939e-16,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UPPER,30.0,119.25,-1.0,4.648469108331761e-13,11.075814287716018,0.0020495829074568756,0.0020495829074568756,0.00018505031361261,1,0,1.5543122344752192e-15,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UPPER,30.0,119.25,0.0,4.689636461290422e-13,11.075814287716018,0.00199829206032537,0.00199829206032537,0.00018041942636593675,1,0,1.5543122344752192e-15,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UPPER,30.0,119.25,1.0,4.668692133172334e-13,11.075814287716018,0.0019470043719120081,0.0019470043719120081,0.00017578882430986542,1,0,1.5543122344752192e-15,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UPPER,60.0,119.25,-1.0,-1.6830155647543018e-13,11.075814287716018,0.0018784093987350202,0.0018784093987350202,0.00016959560262926488,1,0,1.5543122344752192e-15,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UPPER,60.0,119.25,0.0,-1.7332027289643277e-13,11.075814287716018,0.001827117589771383,0.001827117589771383,0.0001649646285418315,1,0,1.5543122344752192e-15,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UPPER,60.0,119.25,1.0,-1.8706870867281417e-13,11.075814287716018,0.0017758289585325811,0.0017758289585325811,0.00016033394136105375,1,0,1.5543122344752192e-15,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UPPER,90.0,119.25,-1.0,-5.424904432185717e-13,11.075814287716018,0.0015995159554096949,0.0015995159554096949,0.0001444152017954733,1,0,1.5543122344752192e-15,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UPPER,90.0,119.25,0.0,-5.449985514124521e-13,11.075814287716018,0.0015482331276795475,0.0015482331276795475,0.00013978503859501007,1,0,1.5543122344752192e-15,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UPPER,90.0,119.25,1.0,-5.528437126955356e-13,11.075814287716018,0.001496953518209075,0.001496953518209075,0.00013515516596096402,1,0,1.5543122344752192e-15,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UPPER,112.0,119.25,-1.0,-2.0752246251142032e-13,11.075814287716018,0.0013907594399774413,0.0013907594399774413,0.00012556724082308848,1,0,1.5543122344752192e-15,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UPPER,112.0,119.25,0.0,-2.1013635592025932e-13,11.075814287716018,0.0013394846622455298,0.0013394846622455298,0.00012093780443132996,1,0,1.5543122344752192e-15,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UPPER,112.0,119.25,1.0,-2.0579745720394338e-13,11.075814287716018,0.001288213124291233,0.001288213124291233,0.00011630866054877487,1,0,1.5543122344752192e-15,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UPPER,30.0,119.5,-1.0,1.1660769325753943e-13,11.075814287716018,0.0021335202089704263,0.0021335202089704263,0.00019262874525954036,1,0,1.9984014443252818e-15,0,True,True
SUBJECT_NOMINAL_CONTROL,NOMINAL_CONTROL,UPPER,30.0,119.5,0.0,1.2930279151353547e-13,11.075814287716018,0.0020658093347921194,0.0020658093347921194,0.0001865153460620291,1,0,1.9984014443252818e-15,0,True,True
