case_id,subject_id,scenario_name,policy_id,iteration,model_update_count,model_update_success,within_trial_model_fixed,updates_this_trial,mass_scale_before,k_hip_nm_per_rad_before,k_knee_nm_per_rad_before,b_hip_nm_s_per_rad_before,b_knee_nm_s_per_rad_before,mass_scale_after,k_hip_nm_per_rad_after,k_knee_nm_per_rad_after,b_hip_nm_s_per_rad_after,b_knee_nm_s_per_rad_after,mass_scale_delta,k_hip_nm_per_rad_delta,k_knee_nm_per_rad_delta,b_hip_nm_s_per_rad_delta,b_knee_nm_s_per_rad_delta,uncertainty_trace_before,uncertainty_trace_after,parameter_interpretation
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,6,6,True,True,1,1.3,15,12,2.00000000002,1.5,1.3,15,12,2.00000000002,1.5,0,0,0,0,0,0.0017041591259,0.00154709169306,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,7,7,True,True,1,1.3,15,12,2.00000000002,1.5,1.3,15,12,2.00000000002,1.5,0,0,0,0,0,0.00154709169306,0.00141182215965,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,8,8,True,True,1,1.3,15,12,2.00000000002,1.5,1.3,15,12,2.00000000002,1.5,0,0,0,0,0,0.00141182215965,0.00129792314624,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,9,9,True,True,1,1.3,15,12,2.00000000002,1.5,1.3,15,12,2.00000000002,1.5,0,0,0,0,0,0.00129792314624,0.00120069958077,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,10,10,True,True,1,1.3,15,12,2.00000000002,1.5,1.3,15,12,2.00000000002,1.5,0,0,0,0,0,0.00120069958077,0.00111673869352,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,11,11,True,True,1,1.3,15,12,2.00000000002,1.5,1.3,15,12,2.00000000002,1.5,0,0,0,0,0,0.00111673869352,0.00104349996218,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,12,12,True,True,1,1.3,15,12,2.00000000002,1.5,1.3,15,12,2.00000000002,1.5,0,0,0,0,0,0.00104349996218,0.000979053047245,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
heavy_leg__matched_linear,heavy_leg,matched_linear,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,13,13,True,True,1,1.3,15,12,2.00000000002,1.5,1.3,15,12,2.00000000002,1.5,0,0,0,0,0,0.000979053047245,0.000921904902284,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,0,0,True,True,0,0.963861068479,17.1407701267,13.8324312948,2.14849374966,1.75065793664,0.963861068479,17.1407701267,13.8324312948,2.14849374966,1.75065793664,0,0,0,0,0,0.00169970721221,0.00169970721221,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
baseline__hip_knee_coupling_mild,baseline,hip_knee_coupling_mild,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,0,0,True,True,0,1.00266719656,15.8083379435,11.7269097852,2.15697184672,1.42080434137,1.00266719656,15.8083379435,11.7269097852,2.15697184672,1.42080434137,0,0,0,0,0,0.00169970721222,0.00169970721222,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,0,0,True,True,0,1.00001343531,14.9985477274,11.998807313,2.06187569195,1.56795685188,1.00001343531,14.9985477274,11.998807313,2.06187569195,1.56795685188,0,0,0,0,0,0.00169970721234,0.00169970721234,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,1,1,True,True,1,1.00001343531,14.9985477274,11.998807313,2.06187569195,1.56795685188,1.00001232218,14.9987325513,11.9989674341,2.0597914536,1.56564789271,-1.11312521534e-06,0.000184823888526,0.000160121137137,-0.00208423835418,-0.00230895916949,0.00169970721234,0.00153938386827,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,2,2,True,True,1,1.00001232218,14.9987325513,11.9989674341,2.0597914536,1.56564789271,1.00001149492,14.9988532587,11.9990732934,2.05805854044,1.56372516411,-8.27265699499e-07,0.000120707413037,0.000105859337124,-0.00173291316404,-0.00192272859662,0.00153938386827,0.0014075879191,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,3,3,True,True,1,1.00001149492,14.9988532587,11.9990732934,2.05805854044,1.56372516411,1.00001084236,14.9989379416,11.999149206,2.05659641492,1.56209413099,-6.52559592362e-07,8.46828774606e-05,7.59125807441e-05,-0.00146212551973,-0.00163103312835,0.0014075879191,0.00129728182915,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,4,4,True,True,1,1.00001084236,14.9989379416,11.999149206,2.05659641492,1.56209413099,1.00001030676,14.9990004532,11.9992069577,2.05534679193,1.56068855338,-5.35594566031e-07,6.25116445292e-05,5.77516462883e-05,-0.00124962298598,-0.00140557760743,0.00129728182915,0.00120358866435,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,5,5,True,True,1,1.00001030676,14.9990004532,11.9992069577,2.05534679193,1.56068855338,1.00000985442,14.9990483936,11.9992529258,2.05426675852,1.55946082015,-4.52345362723e-07,4.79403644125e-05,4.59680892106e-05,-0.001080033406,-0.00122773322498,0.00120358866435,0.00112301192853,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
baseline__structured_residual,baseline,structured_residual,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,0,0,True,True,0,0.982558063374,14.8746987077,11.8149726004,2.10437088785,1.38227152266,0.982558063374,14.8746987077,11.8149726004,2.10437088785,1.38227152266,0,0,0,0,0,0.00169970721205,0.00169970721205,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
baseline__combined_mild,baseline,combined_mild,P2_DECISION_GUARDED_EXPLORE_EXPLOIT,0,0,True,True,0,0.988643233054,16.7602875713,13.2309926032,2.24585169355,1.62960722216,0.988643233054,16.7602875713,13.2309926032,2.24585169355,1.62960722216,0,0,0,0,0,0.00169970721224,0.00169970721224,LOCAL_EQUIVALENT_DYNAMICS_NOT_PHYSIOLOGICAL_TISSUE_CHANGE
