model,beta_flex,beta_extend,E0,E2,E3
LEG_0_NOMINAL,-0.0075,0.0,32.209398000269005,1.0000702398697154,0.9994609504272329
LEG_0_NOMINAL,-0.0075,0.0025,32.20821739213883,1.0000712055917576,0.999161540169434
LEG_0_NOMINAL,-0.0075,0.005,32.2070187757076,1.00013893394607,0.998861226426496
LEG_0_NOMINAL,-0.0075,0.0075,32.205819862751206,1.0002053281719585,0.9985627478738917
LEG_0_NOMINAL,-0.0075,0.01,32.204620871906044,1.0002704032668157,0.9982661212831507
LEG_0_NOMINAL,-0.0075,0.0125,32.20342419834496,1.0003343825627784,0.9979713415859696
LEG_0_NOMINAL,-0.0075,0.015,32.20222458065354,1.0003967808298175,0.9976784385396456
LEG_0_NOMINAL,-0.0075,0.0175,32.20102576779146,1.0004579224561794,0.9973874426505331
LEG_0_NOMINAL,-0.0075,0.02,32.1998347798162,1.0005183953159156,0.9970984361770058
LEG_0_NOMINAL,-0.0075,0.0225,32.19863600933809,1.0005768252197094,0.9968113802881547
LEG_0_NOMINAL,-0.0075,0.025,32.1974346438118,1.0006338599693343,0.9965259692744454
LEG_0_NOMINAL,-0.0075,0.0275,32.19623745902348,1.0006899658437316,0.9962424568145374
LEG_0_NOMINAL,-0.0075,0.03,32.19504822056585,1.0007454122563846,0.9959609696935735
LEG_0_NOMINAL,-0.005,-0.03,32.22533027831117,1.0159773057335362,1.0034051904552954
LEG_0_NOMINAL,-0.005,-0.0275,32.22413587008004,1.0146011551181835,1.0030823482419038
LEG_0_NOMINAL,-0.005,-0.025,32.222927534094175,1.0132330897182888,1.0027609302463691
LEG_0_NOMINAL,-0.005,-0.0225,32.221724251848165,1.011873213547599,1.0024413333381679
LEG_0_NOMINAL,-0.005,-0.02,32.22050539309985,1.010521935741288,1.002123242356069
LEG_0_NOMINAL,-0.005,-0.0175,32.21930459823139,1.0091770823832436,1.0018068461304572
LEG_0_NOMINAL,-0.005,-0.015,32.218101290224915,1.0078408966976482,1.0014922297789208
LEG_0_NOMINAL,-0.005,-0.0125,32.21690003121902,1.0065128759880575,1.0011793746084099
LEG_0_NOMINAL,-0.005,-0.01,32.21569544775004,1.005193418552114,1.0008682629700278
LEG_0_NOMINAL,-0.005,-0.0075,32.21449477990432,1.0038817726982328,1.0005588744039327
LEG_0_NOMINAL,-0.005,-0.005,32.21329361656672,1.0025786655612576,1.000251281816273
LEG_0_NOMINAL,-0.005,-0.0025,32.21209233235727,1.0012839976118535,0.9999454720046437
LEG_0_NOMINAL,-0.005,0.0,32.210890909117516,1.0000478577043337,0.9996414601895615
LEG_0_NOMINAL,-0.005,0.0025,32.20971035570812,1.0000712055917576,0.9993420499317627
LEG_0_NOMINAL,-0.005,0.005,32.208511794836454,1.00013893394607,0.9990417361888246
LEG_0_NOMINAL,-0.005,0.0075,32.20731293745749,1.0002053281719585,0.9987432576362203
LEG_0_NOMINAL,-0.005,0.01,32.206114002197516,1.0002704032668157,0.9984466310454794
LEG_0_NOMINAL,-0.005,0.0125,32.204917384118325,1.0003343825627784,0.9981518513482982
LEG_0_NOMINAL,-0.005,0.015,32.20371782204943,1.0003967808298175,0.9978589483019742
LEG_0_NOMINAL,-0.005,0.0175,32.20251906477669,1.0004579224561794,0.9975679524128618
LEG_0_NOMINAL,-0.005,0.02,32.20132813203204,1.0005183953159156,0.9972789459393344
LEG_0_NOMINAL,-0.005,0.0225,32.200129417149554,1.0005768252197094,0.9969918900504833
LEG_0_NOMINAL,-0.005,0.025,32.198928107343406,1.0006338599693343,0.996706479036774
LEG_0_NOMINAL,-0.005,0.0275,32.19773097808545,1.0006899658437316,0.996422966576866
LEG_0_NOMINAL,-0.005,0.03,32.196541794793696,1.0007454122563846,0.9961414794559021
LEG_0_NOMINAL,-0.0025,-0.03,32.226811511009565,1.0159773057335362,1.0035847686132975
LEG_0_NOMINAL,-0.0025,-0.0275,32.225617157678755,1.0146011551181835,1.003261926399906
LEG_0_NOMINAL,-0.0025,-0.025,32.22440887723752,1.0132330897182888,1.0029405084043712
LEG_0_NOMINAL,-0.0025,-0.0225,32.223205650307975,1.011873213547599,1.0026209114961702
LEG_0_NOMINAL,-0.0025,-0.02,32.22198684759641,1.010521935741288,1.0023028205140712
LEG_0_NOMINAL,-0.0025,-0.0175,32.220786107938366,1.0091770823832436,1.0019864242884595
LEG_0_NOMINAL,-0.0025,-0.015,32.21958285526198,1.0078408966976482,1.001671807936923
