case,sample_index,main_loop_timestamp_ns,supervisor_loop_period_ms,rt_sequence,source_or_receive_timestamp_ns,publish_timestamp_ns,supervisor_receive_timestamp_ns,observed_source_period_per_sequence_ms,observed_publish_interval_per_sequence_ms,rt_age_ms,rt_ipc_age_ms,rt_publish_to_receive_age_ms,new_snapshot_received,publish_count,publish_success_count,receive_count,overwrite_count,publish_drop_count,rt_valid,rt_stale,operation_state,rt_worker_state,rt_worker_alive,rt_worker_hung,rt_heartbeat_age_ms,rt_last_error_code,rt_last_error,wrench_sequence,wrench_last_success_ns,wrench_age_ms,wrench_valid,wrench_stale,wrench_worker_state,wrench_worker_alive,wrench_worker_hung,wrench_heartbeat_age_ms,wrench_last_error_code,wrench_last_error
rtonly,74,3129183127729600,9.9733,277,3129183121366600,3129183121390900,3129183127775300,7.9434,7.9511,6.511,6.4087,6.3844,True,277,277,76,201,0,True,False,IDLE,streaming,True,False,86.4463,,,0,,,False,True,not_tested,False,False,,,
rtonly,75,3129183137553700,9.8241,278,3129183129419500,3129183129436400,3129183137607000,8.0529,8.0455,8.3261,8.1875,8.1706,True,278,278,77,201,0,True,False,IDLE,streaming,True,False,96.3143,,,0,,,False,True,not_tested,False,False,,,
rtonly,76,3129183147582700,10.029,280,3129183145349900,3129183145366500,3129183147628800,7.9652,7.96505,2.3786,2.2789,2.2623,True,280,280,78,202,0,True,False,IDLE,streaming,True,False,106.2972,,,0,,,False,True,not_tested,False,False,,,
rtonly,77,3129183157468700,9.886,281,3129183153674000,3129183153689000,3129183157539500,8.3241,8.3225,4.1085,3.8655,3.8505,True,281,281,79,202,0,True,False,IDLE,streaming,True,False,12.3628,,,0,,,False,True,not_tested,False,False,,,
rtonly,78,3129183167605800,10.1371,282,3129183161343600,3129183161359000,3129183167651700,7.6696,7.67,6.4085,6.3081,6.2927,True,282,282,80,202,0,True,False,IDLE,streaming,True,False,22.3324,,,0,,,False,True,not_tested,False,False,,,
rtonly,79,3129183177437700,9.8319,283,3129183169464400,3129183169481400,3129183177480000,8.1208,8.1224,8.1193,8.0156,7.9986,True,283,283,81,202,0,True,False,IDLE,streaming,True,False,32.164,,,0,,,False,True,not_tested,False,False,,,
rtonly,80,3129183187401400,9.9637,285,3129183185493700,3129183185512100,3129183187477700,8.01465,8.01535,2.1547,1.984,1.9656,True,285,285,82,203,0,True,False,IDLE,streaming,True,False,42.2287,,,0,,,False,True,not_tested,False,False,,,
rtonly,81,3129183197549600,10.1482,286,3129183193354900,3129183193370900,3129183197595600,7.8612,7.8588,4.3416,4.2407,4.2247,True,286,286,83,203,0,True,False,IDLE,streaming,True,False,52.2768,,,0,,,False,True,not_tested,False,False,,,
rtonly,82,3129183207338000,9.7884,287,3129183201480800,3129183201497900,3129183207387000,8.1259,8.127,6.0019,5.9062,5.8891,True,287,287,84,203,0,True,False,IDLE,streaming,True,False,62.063,,,0,,,False,True,not_tested,False,False,,,
rtonly,83,3129183217332100,9.9941,288,3129183209522200,3129183209539600,3129183217379300,8.0414,8.0417,7.9611,7.8571,7.8397,True,288,288,85,203,0,True,False,IDLE,streaming,True,False,72.0636,,,0,,,False,True,not_tested,False,False,,,
rtonly,84,3129183227466400,10.1343,290,3129183225346800,3129183225363400,3129183227513000,7.9123,7.9119,2.2668,2.1662,2.1496,True,290,290,86,204,0,True,False,IDLE,streaming,True,False,82.1939,,,0,,,False,True,not_tested,False,False,,,
rtonly,85,3129183237289700,9.8233,291,3129183233489000,3129183233506400,3129183237337900,8.1422,8.143,4.0162,3.8489,3.8315,True,291,291,87,204,0,True,False,IDLE,streaming,True,False,92.0855,,,0,,,False,True,not_tested,False,False,,,
rtonly,86,3129183247439400,10.1497,292,3129183241361800,3129183241381000,3129183247485700,7.8728,7.8746,6.2238,6.1239,6.1047,True,292,292,88,204,0,True,False,IDLE,streaming,True,False,102.1659,,,0,,,False,True,not_tested,False,False,,,
rtonly,87,3129183257198900,9.7595,293,3129183249505900,3129183249523100,3129183257251700,8.1441,8.1421,7.8465,7.7458,7.7286,True,293,293,89,204,0,True,False,IDLE,streaming,True,False,111.9327,,,0,,,False,True,not_tested,False,False,,,
rtonly,88,3129183267365800,10.1669,295,3129183265507300,3129183265524700,3129183267411300,8.0007,8.0008,2.0881,1.904,1.8866,True,295,295,90,205,0,True,False,IDLE,streaming,True,False,18.0181,,,0,,,False,True,not_tested,False,False,,,
rtonly,89,3129183277332000,9.9662,296,3129183273339200,3129183273356100,3129183277378000,7.8319,7.8314,4.1382,4.0388,4.0219,True,296,296,91,205,0,True,False,IDLE,streaming,True,False,27.9001,,,0,,,False,True,not_tested,False,False,,,
rtonly,90,3129183287264900,9.9329,297,3129183281507000,3129183281523600,3129183287313300,8.1678,8.1675,5.9438,5.8063,5.7897,True,297,297,92,205,0,True,False,IDLE,streaming,True,False,37.8735,,,0,,,False,True,not_tested,False,False,,,
rtonly,91,3129183297292800,10.0279,298,3129183289340500,3129183289357400,3129183297340700,7.8335,7.8338,8.1047,8.0002,7.9833,True,298,298,93,205,0,True,False,IDLE,streaming,True,False,47.8679,,,0,,,False,True,not_tested,False,False,,,
rtonly,92,3129183307088600,9.7958,300,3129183305382600,3129183305401000,3129183307133500,8.02105,8.0218,1.8531,1.7509,1.7325,True,300,300,94,206,0,True,False,IDLE,streaming,True,False,57.6584,,,0,,,False,True,not_tested,False,False,,,
rtonly,93,3129183317194000,10.1054,301,3129183313357200,3129183313374800,3129183317241600,7.9746,7.9738,3.9877,3.8844,3.8668,True,301,301,95,206,0,True,False,IDLE,streaming,True,False,67.7676,,,0,,,False,True,not_tested,False,False,,,
rtonly,94,3129183327143000,9.949,302,3129183321486400,3129183321539700,3129183327190100,8.1292,8.1649,5.807,5.7037,5.6504,True,302,302,96,206,0,True,False,IDLE,streaming,True,False,77.7161,,,0,,,False,True,not_tested,False,False,,,
rtonly,95,3129183337167700,10.0247,303,3129183329356800,3129183329373600,3129183337220000,7.8704,7.8339,8.1135,7.8632,7.8464,True,303,303,97,206,0,True,False,IDLE,streaming,True,False,87.893,,,0,,,False,True,not_tested,False,False,,,
rtonly,96,3129183347126500,9.9588,305,3129183345316900,3129183345334600,3129183347176200,7.98005,7.9805,1.9607,1.8593,1.8416,True,305,305,98,207,0,True,False,IDLE,streaming,True,False,97.7003,,,0,,,False,True,not_tested,False,False,,,
rtonly,97,3129183356954700,9.8282,306,3129183353311900,3129183353329100,3129183357003800,7.995,7.9945,3.7952,3.6919,3.6747,True,306,306,99,207,0,True,False,IDLE,streaming,True,False,107.5298,,,0,,,False,True,not_tested,False,False,,,
rtonly,98,3129183367086600,10.1319,307,3129183361564800,3129183361580100,3129183367132100,8.2529,8.251,5.7537,5.5673,5.552,True,307,307,100,207,0,True,False,IDLE,streaming,True,False,13.9363,,,0,,,False,True,not_tested,False,False,,,
