main_loop_timestamp_ns,loop_period_ms,rt_sequence,rt_timestamp_s,rt_age_ms,rt_valid,operation_state,wrench_sequence,wrench_age_ms,wrench_valid,wrench_stale,wrench_worker_alive,wrench_query_in_flight,wrench_in_flight_age_ms,last_wrench_error,last_wrench_error_code
3116312995885500,40.0423,244,3116312.9878992,8.049999829381704,True,IDLE,39,14.9161,True,False,True,False,,,
3116312996009100,0.1236,244,3116312.9878992,8.142000064253807,True,IDLE,39,15.0397,True,False,True,False,,,
3116313011755200,15.7461,246,3116313.004212,7.601600140333176,True,IDLE,39,30.7858,True,False,True,False,,,
3116313029402400,17.6472,248,3116313.0199701,9.486600290983915,True,IDLE,40,0.2472,True,False,True,False,,,
3116313029523700,0.1213,248,3116313.0199701,9.588200133293867,True,IDLE,40,0.3685,True,False,True,False,,,
3116313043715400,14.1917,250,3116313.0357631,8.02600011229515,True,IDLE,40,14.5602,True,False,True,False,,,
3116313059760700,16.0453,252,3116313.0517763,8.079799823462963,True,IDLE,40,30.6055,True,False,True,False,,,
3116313059948100,0.1874,252,3116313.0517763,8.224599994719028,True,IDLE,40,30.7929,True,False,True,False,,,
3116313099805800,39.8577,257,3116313.0919781,7.924799807369709,True,IDLE,41,14.3793,True,False,True,False,,,
3116313099998700,0.1929,257,3116313.0919781,8.085299748927355,True,IDLE,41,14.5722,True,False,True,False,,,
3116313123803300,23.8046,260,3116313.1159159,7.9819997772574425,True,IDLE,41,38.3768,True,False,True,False,,,
3116313123988700,0.1854,260,3116313.1159159,8.124599698930979,True,IDLE,41,38.5622,True,False,True,False,,,
3116313139706100,15.7174,262,3116313.1319611,7.913200184702873,True,IDLE,41,54.2796,True,False,True,False,,,
3116313155812300,16.1062,264,3116313.1478484,8.031200151890516,True,IDLE,42,14.4457,True,False,True,False,,,
3116313155946500,0.1342,264,3116313.1478484,8.132300339639187,True,IDLE,42,14.5799,True,False,True,False,,,
3116313180856400,24.9099,267,3116313.1717588,9.158000349998474,True,IDLE,43,0.2035,True,False,True,False,,,
3116313180982400,0.126,267,3116313.1717588,9.281100239604712,True,IDLE,43,0.3295,True,False,True,False,,,
3116313195680900,14.6985,269,3116313.1877424,7.980899885296822,True,IDLE,43,15.028,True,False,True,False,,,
3116313211644900,15.964,271,3116313.2039941,7.697000168263912,True,IDLE,43,30.992,True,False,True,False,,,
3116313211733700,0.0888,271,3116313.2039941,7.759499829262495,True,IDLE,43,31.0808,True,False,True,False,,,
3116313228883500,17.1498,273,3116313.2198518,9.060000069439411,True,IDLE,44,0.1531,True,False,True,False,,,
3116313243688600,14.8051,275,3116313.2357569,7.983299903571606,True,IDLE,44,14.9582,True,False,True,False,,,
3116313243785100,0.0965,275,3116313.2357569,8.05089995265007,True,IDLE,44,15.0547,True,False,True,False,,,
3116313259968000,16.1829,277,3116313.2518049,8.206500206142664,True,IDLE,44,31.2376,True,False,True,False,,,
3116313275846300,15.8783,279,3116313.2679286,7.970500271767378,True,IDLE,44,47.1159,True,False,True,False,,,
3116313275944300,0.098,279,3116313.2679286,8.034900296479464,True,IDLE,44,47.2139,True,False,True,False,,,
3116313299844500,23.9002,282,3116313.2919399,7.951800245791674,True,IDLE,45,15.1253,True,False,True,False,,,
3116313299936300,0.0918,282,3116313.2919399,8.01570015028119,True,IDLE,45,15.2171,True,False,True,False,,,
3116313323886200,23.9499,285,3116313.3159407,7.999700028449297,True,IDLE,45,39.167,True,False,True,False,,,
3116313323992900,0.1067,285,3116313.3159407,8.07909993454814,True,IDLE,45,39.2737,True,False,True,False,,,
3116313339687100,15.6942,287,3116313.3319553,7.791399955749512,True,IDLE,45,54.9679,True,False,True,False,,,
3116313355743200,16.0561,289,3116313.3479522,7.844999898225069,True,IDLE,46,13.8337,True,False,True,False,,,
3116313355845900,0.1027,289,3116313.3479522,7.9171000979840755,True,IDLE,46,13.9364,True,False,True,False,,,
3116313395707000,39.8611,294,3116313.3878691,7.903799880295992,True,IDLE,47,14.7183,True,False,True,False,,,
3116313395839200,0.1322,294,3116313.3878691,8.001700043678284,True,IDLE,47,14.8505,True,False,True,False,,,
3116313411654900,15.8157,296,3116313.403931,7.787600159645081,True,IDLE,47,30.6662,True,False,True,False,,,
3116313427661100,16.0062,298,3116313.419951,7.76260020211339,True,IDLE,47,46.6724,True,False,True,False,,,
3116313427760900,0.0998,298,3116313.419951,7.833200041204691,True,IDLE,47,46.7722,True,False,True,False,,,
3116313443745900,15.985,300,3116313.4356731,8.119700010865927,True,IDLE,48,14.9806,True,False,True,False,,,
3116313459689600,15.9437,302,3116313.4517522,7.984800264239311,True,IDLE,48,30.9243,True,False,True,False,,,
3116313459780500,0.0909,302,3116313.4517522,8.047900162637234,True,IDLE,48,31.0152,True,False,True,False,,,
3116313475725000,15.9445,304,3116313.4677312,8.041799999773502,True,IDLE,48,46.9597,True,False,True,False,,,
3116313483605200,7.8802,305,3116313.4759819,7.664899807423353,True,IDLE,48,54.8399,True,False,True,False,,,
3116313499636900,16.0317,307,3116313.4918246,7.846500258892775,True,IDLE,49,14.9414,True,False,True,False,,,
3116313507680200,8.0433,308,3116313.4998449,7.890400011092424,True,IDLE,49,22.9847,True,False,True,False,,,
3116313523683900,16.0037,310,3116313.5157325,7.9979002475738525,True,IDLE,49,38.9884,True,False,True,False,,,
3116313523779900,0.096,310,3116313.5157325,8.066400419920683,True,IDLE,49,39.0844,True,False,True,False,,,
3116313539780100,16.0002,312,3116313.5316599,8.16649990156293,True,IDLE,49,55.0846,True,False,True,False,,,
3116313563640000,23.8599,315,3116313.5558358,7.848900277167559,True,IDLE,50,22.6518,True,False,True,False,,,
3116313595841000,32.201,319,3116313.5877681,8.122599683701992,True,IDLE,51,14.8131,True,False,True,False,,,
3116313595936400,0.0954,319,3116313.5877681,8.190299849957228,True,IDLE,51,14.9085,True,False,True,False,,,
3116313611848200,15.9118,321,3116313.6041321,7.7669997699558735,True,IDLE,51,30.8203,True,False,True,False,,,
3116313643872500,32.0243,325,3116313.635795,8.141099940985441,True,IDLE,52,14.9736,True,False,True,False,,,
3116313643991800,0.1193,325,3116313.635795,8.223299868404865,True,IDLE,52,15.0929,True,False,True,False,,,
3116313667847200,23.8554,328,3116313.6599567,7.954999804496765,True,IDLE,52,38.9483,True,False,True,False,,,
3116313667967100,0.1199,328,3116313.6599567,8.038799744099379,True,IDLE,52,39.0682,True,False,True,False,,,
3116313683847200,15.8801,330,3116313.6758096,8.096199948340654,True,IDLE,52,54.9483,True,False,True,False,,,
3116313699857000,16.0098,332,3116313.6919514,7.970599923282862,True,IDLE,53,14.557,True,False,True,False,,,
3116313699980000,0.123,332,3116313.6919514,8.05619964376092,True,IDLE,53,14.68,True,False,True,False,,,
3116313723855900,23.8759,335,3116313.7159801,7.941599935293198,True,IDLE,53,38.5559,True,False,True,False,,,
3116313723984900,0.129,335,3116313.7159801,8.0379000864923,True,IDLE,53,38.6849,True,False,True,False,,,
3116313739720300,15.7354,337,3116313.7319849,7.800900377333164,True,IDLE,53,54.4203,True,False,True,False,,,
3116313755691900,15.9716,339,3116313.7477557,8.021200075745583,True,IDLE,54,14.672,True,False,True,False,,,
3116313755846500,0.1546,339,3116313.7477557,8.141000289469957,True,IDLE,54,14.8266,True,False,True,False,,,
3116313795914600,40.0681,344,3116313.7879203,8.076200261712074,True,IDLE,55,14.6085,True,False,True,False,,,
