stage,main_loop_timestamp_ns,loop_period_ms,rt_sequence,rt_timestamp_ns,rt_age_ms,rt_valid,operation_state,wrench_sequence,wrench_age_ms,wrench_valid,wrench_stale,worker_pid,worker_start_time_ns,worker_alive,worker_exitcode,worker_state,heartbeat_age_ms,worker_hung,last_error_code,last_error,graceful_disconnect_confirmed
overlap,3118873792092700,24.0191,951,3118873784253200,7.8395,True,IDLE,111,19.0637,True,False,7804,3118867145639300,True,,idle,19.0456,False,,,
overlap,3118873823955600,31.8629,955,3118873816074900,7.8807,True,IDLE,112,2.0218,True,False,7804,3118867145639300,True,,idle,2.001,False,,,
overlap,3118873864367000,40.4114,960,3118873856294900,8.0721,True,IDLE,112,42.4332,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118873920064700,55.6977,967,3118873912156600,7.9081,True,IDLE,113,47.8741,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118873952263000,32.1983,971,3118873944165500,8.0975,True,IDLE,113,80.0724,True,False,7804,3118867145639300,True,,idle,29.246,False,,,
overlap,3118873983972400,31.7094,975,3118873976197500,7.7749,True,IDLE,115,11.9778,True,False,7804,3118867145639300,True,,idle,11.9507,False,,,
overlap,3118874016112100,32.1397,979,3118874008275100,7.837,True,IDLE,115,44.1175,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118874048136300,32.0242,983,3118874040396800,7.7395,True,IDLE,118,0.0,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118874184118000,135.9817,995,3118874176104100,8.0139,True,IDLE,119,11.2375,True,False,7804,3118867145639300,True,,idle,11.2225,False,,,
overlap,3118874208241200,24.1232,998,3118874200218900,8.0223,True,IDLE,119,35.3607,True,False,7804,3118867145639300,True,,idle,35.3457,False,,,
overlap,3118874240112700,31.8715,1002,3118874232020000,8.0927,True,IDLE,120,15.9163,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118874304007000,63.8943,1010,3118874296135600,7.8714,True,IDLE,121,30.9598,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118874344054100,40.0471,1015,3118874336081800,7.9723,True,IDLE,122,21.165,True,False,7804,3118867145639300,True,,idle,21.144,False,,,
overlap,3118874376135700,32.0816,1019,3118874368110200,8.0255,True,IDLE,123,2.243,True,False,7804,3118867145639300,True,,idle,2.2192,False,,,
overlap,3118874408321700,32.186,1023,3118874400174000,8.1477,True,IDLE,123,34.429,True,False,7804,3118867145639300,True,,idle,34.4052,False,,,
overlap,3118874439984800,31.6631,1027,3118874432081800,7.903,True,IDLE,124,16.3644,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118874520233500,80.2487,1037,3118874512365100,7.8684,True,IDLE,125,46.8907,True,False,7804,3118867145639300,True,,idle,46.861,False,,,
overlap,3118874552036700,31.8032,1041,3118874544015200,8.0215,True,IDLE,126,29.7207,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118874600067900,48.0312,1047,3118874592434300,7.6336,True,IDLE,127,26.8643,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118874656118700,56.0508,1054,3118874648239600,7.8791,True,IDLE,129,0.0,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118874728131200,72.0125,1063,3118874720343300,7.7879,True,IDLE,130,5.0291,True,False,7804,3118867145639300,True,,idle,5.0029,False,,,
overlap,3118874752362200,24.231,1066,3118874744338800,8.0234,True,IDLE,130,29.2601,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
overlap,3118874808233700,55.8715,1073,3118874800176400,8.0573,True,IDLE,131,35.5204,True,False,7804,3118867145639300,True,,idle,0.0,False,,,
