case_id,bo_variant,budget,posterior_recommended_trajectory_id,posterior_recommended_J_mean,posterior_recommended_std,fitted_kernel,recommendation_is_primary_physical_decision,unqueried_truth_used
prospective_subject_001__matched_linear,BO_B_MODEL_SCREENED,1,asym_h-1.000_k-5.000_p+0.01750,0.971405442949,2.11338424719e-05,"0.0001**2 * Matern(length_scale=[0.5, 0.5, 0.5], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
prospective_subject_001__matched_linear,BO_B_MODEL_SCREENED,2,asym_h-1.000_k-5.000_p+0.01750,0.971405442949,1.9026074524e-06,"0.0001**2 * Matern(length_scale=[0.5, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
prospective_subject_001__matched_linear,BO_B_MODEL_SCREENED,3,asym_h-1.000_k-5.000_p+0.01750,0.971405442949,1.56510929964e-06,"0.0001**2 * Matern(length_scale=[0.5, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
prospective_subject_001__matched_linear,BO_B_MODEL_SCREENED,5,asym_h-1.000_k-5.000_p+0.02000,0.971407196659,1.44028952611e-06,"0.0001**2 * Matern(length_scale=[0.5, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
prospective_subject_001__nonlinear_stiffness_strong,BO_A_FULL_FEASIBLE,1,asym_h-4.750_k-5.000_p+0.03000,0.940076341447,0.00662614749626,"0.0365**2 * Matern(length_scale=[0.5, 0.5, 0.5], nu=2.5) + WhiteKernel(noise_level=1e-08)",False,False
prospective_subject_001__nonlinear_stiffness_strong,BO_A_FULL_FEASIBLE,2,asym_h-5.000_k-5.000_p+0.02250,0.939013747215,0.000549177383836,"0.0261**2 * Matern(length_scale=[0.5, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
prospective_subject_001__nonlinear_stiffness_strong,BO_A_FULL_FEASIBLE,3,asym_h-5.000_k-5.000_p+0.02250,0.939024893708,0.000459130681988,"0.0219**2 * Matern(length_scale=[2, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=5.23e-12)",False,False
prospective_subject_001__nonlinear_stiffness_strong,BO_A_FULL_FEASIBLE,5,asym_h-5.000_k-5.000_p-0.01500,0.938320017047,0.00281311170541,"0.0214**2 * Matern(length_scale=[2, 1.55, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
prospective_subject_001__nonlinear_stiffness_strong,BO_B_MODEL_SCREENED,1,asym_h-4.750_k-5.000_p+0.03000,0.940076341447,0.00662614749626,"0.0365**2 * Matern(length_scale=[0.5, 0.5, 0.5], nu=2.5) + WhiteKernel(noise_level=1e-08)",False,False
prospective_subject_001__nonlinear_stiffness_strong,BO_B_MODEL_SCREENED,2,asym_h-5.000_k-5.000_p+0.02250,0.939013747215,0.000549177383836,"0.0261**2 * Matern(length_scale=[0.5, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
prospective_subject_001__nonlinear_stiffness_strong,BO_B_MODEL_SCREENED,3,asym_h-5.000_k-5.000_p+0.02250,0.939024893708,0.000459130681988,"0.0219**2 * Matern(length_scale=[2, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=5.23e-12)",False,False
prospective_subject_001__nonlinear_stiffness_strong,BO_B_MODEL_SCREENED,5,asym_h-5.000_k-5.000_p-0.01500,0.938320017047,0.00281311170541,"0.0214**2 * Matern(length_scale=[2, 1.55, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
prospective_subject_002__matched_linear,BO_A_FULL_FEASIBLE,1,asym_h+2.000_k-5.000_p+0.03000,0.974173691782,9.77631429596e-05,"0.0001**2 * Matern(length_scale=[0.5, 0.5, 0.5], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
prospective_subject_002__matched_linear,BO_A_FULL_FEASIBLE,2,asym_h+2.000_k-5.000_p+0.02750,0.974190118641,2.1127684593e-05,"0.0001**2 * Matern(length_scale=[2, 0.5, 0.5], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
prospective_subject_002__matched_linear,BO_A_FULL_FEASIBLE,3,asym_h+2.000_k-5.000_p+0.02750,0.974190118641,1.66957213339e-06,"0.0001**2 * Matern(length_scale=[2, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
prospective_subject_002__matched_linear,BO_A_FULL_FEASIBLE,5,asym_h+2.000_k-5.000_p+0.02500,0.974207021001,1.41552383418e-06,"0.0001**2 * Matern(length_scale=[2, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
prospective_subject_002__matched_linear,BO_B_MODEL_SCREENED,1,asym_h-1.000_k-5.000_p+0.02750,0.975615667724,2.11338424719e-05,"0.0001**2 * Matern(length_scale=[0.5, 0.5, 0.5], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
prospective_subject_002__matched_linear,BO_B_MODEL_SCREENED,2,asym_h-1.000_k-5.000_p+0.02750,0.975615667724,1.6713202288e-06,"0.0001**2 * Matern(length_scale=[0.5, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
prospective_subject_002__matched_linear,BO_B_MODEL_SCREENED,3,asym_h-1.000_k-5.000_p+0.02750,0.975615667724,1.60922833283e-06,"0.0001**2 * Matern(length_scale=[0.5, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
prospective_subject_002__matched_linear,BO_B_MODEL_SCREENED,5,asym_h-1.000_k-5.000_p+0.02500,0.975632996517,1.41609067904e-06,"0.0001**2 * Matern(length_scale=[2, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
prospective_subject_002__hip_knee_coupling_strong,BO_A_FULL_FEASIBLE,1,asym_h+1.250_k-5.000_p+0.03000,0.971632839178,0.000488700645904,"0.00258**2 * Matern(length_scale=[0.5, 0.5, 0.5], nu=2.5) + WhiteKernel(noise_level=9.96e-09)",False,False
prospective_subject_002__hip_knee_coupling_strong,BO_A_FULL_FEASIBLE,2,asym_h+2.000_k-5.000_p+0.02750,0.970989139103,0.00056858605608,"0.0027**2 * Matern(length_scale=[2, 0.5, 0.5], nu=2.5) + WhiteKernel(noise_level=2.11e-12)",False,False
prospective_subject_002__hip_knee_coupling_strong,BO_A_FULL_FEASIBLE,3,asym_h+2.000_k-5.000_p+0.02750,0.970896175212,2.19151540129e-05,"0.00203**2 * Matern(length_scale=[1.59, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
prospective_subject_002__hip_knee_coupling_strong,BO_A_FULL_FEASIBLE,5,asym_h+2.000_k-5.000_p+0.02750,0.970903671621,1.43509878947e-05,"0.0017**2 * Matern(length_scale=[1.33, 0.5, 2], nu=2.5) + WhiteKernel(noise_level=1e-12)",False,False
prospective_subject_002__hip_knee_coupling_strong,BO_B_MODEL_SCREENED,1,asym_h+1.000_k-5.000_p+0.02750,0.971740914471,0.00056114430122,"0.00258**2 * Matern(length_scale=[0.5, 0.5, 0.5], nu=2.5) + WhiteKernel(noise_level=9.96e-09)",False,False
