model,family,tier,method,K_additional,improvement_pct,regret,normalized_regret,constraint_violations
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.02,MODEL_INFORMED_BO_EI,2,2.0935583850029804,0.0,0.0,0.0
LEG_1_HEAVY_HIP_STIFF,BETA_TIMING,0.02,MODEL_INFORMED_BO_EI,3,2.0935583850029804,0.0,0.0,0.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.0,REFERENCE,0,0.0,0.0006312045357271,1.0,0.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.0,REFERENCE,1,0.0,0.0006312045357271,1.0,0.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.0,REFERENCE,2,0.0,0.0006312045357271,1.0,0.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.0,REFERENCE,3,0.0,0.0006312045357271,1.0,0.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.0,RANDOM,0,0.0,0.0006312045357271,1.0,0.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.0,RANDOM,1,0.0,0.0006312045357271,1.0,1.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.0,RANDOM,2,0.00315602267863535,0.0005996443089407506,0.9500000000000088,1.95
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.0,RANDOM,3,0.00315602267863535,0.0005996443089407506,0.9500000000000088,2.95
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.0,ADAPTIVE_GREEDY,0,0.0,0.0006312045357271,1.0,0.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.0,ADAPTIVE_GREEDY,1,0.0,0.0006312045357271,1.0,1.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.0,ADAPTIVE_GREEDY,2,0.0,0.0006312045357271,1.0,2.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.0,ADAPTIVE_GREEDY,3,0.0,0.0006312045357271,1.0,3.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.0,PURE_BO_EI,0,0.0,0.0006312045357271,1.0,0.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.0,PURE_BO_EI,1,0.0,0.0006312045357271,1.0,1.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.0,PURE_BO_EI,2,0.0,0.0006312045357271,1.0,2.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.0,PURE_BO_EI,3,0.0,0.0006312045357271,1.0,3.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.0,MODEL_INFORMED_BO_EI,0,0.0,0.0006312045357271,1.0,0.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.0,MODEL_INFORMED_BO_EI,1,0.0,0.0006312045357271,1.0,1.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.0,MODEL_INFORMED_BO_EI,2,0.0,0.0006312045357271,1.0,2.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.0,MODEL_INFORMED_BO_EI,3,0.0,0.0006312045357271,1.0,3.0
LEG_2_KNEE_DOMINANT,BETA_TIMING,0.01,REFERENCE,0,0.0,0.0046932819722131,1.0,0.0
