model,family,tier,method,seed,trial_index,candidate_id,parameter_flex,parameter_extend,share_shift,E3,E2,peak_ratio,feasible,best_E3,best_candidate_id,next_selection
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,17,2,BETA_TIMING:69,-0.09,0.12,-0.1,0.9825345976516529,1.0033768473880706,1.002992592502348,False,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:179', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,17,3,BETA_TIMING:179,0.0,0.12,0.0,0.9876441296194789,1.0018539002898708,1.0003461138286633,False,1.0,BETA_TIMING:163,
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,18,0,BETA_TIMING:163,0.0,0.0,0.0,1.0,1.0,1.0,True,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:144', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,18,1,BETA_TIMING:144,0.0,-0.12,-0.1,1.0181260794541291,1.0718861768612882,1.002742722844487,False,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:41', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,18,2,BETA_TIMING:41,-0.09,-0.09,0.0,1.0049195159624928,1.0510319012876717,1.0000730601351537,False,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:188', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,18,3,BETA_TIMING:188,0.03,-0.06,-0.05,1.0107654846803498,1.034283580604403,1.0011659042042547,False,1.0,BETA_TIMING:163,
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,19,0,BETA_TIMING:163,0.0,0.0,0.0,1.0,1.0,1.0,True,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:37', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,19,1,BETA_TIMING:37,-0.09,-0.12,-0.05,1.0101772225797108,1.0708907246104942,1.0012942239514588,False,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:255', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,19,2,BETA_TIMING:255,0.09,-0.09,-0.1,1.0196935588297267,1.0532564849932589,1.0025998618059178,False,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:88', 'acquisition_value': None, 'metadata': {}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,RANDOM,19,3,BETA_TIMING:88,-0.06,-0.03,0.1,0.9970905753243011,1.0124308430678708,1.0001421081311581,False,1.0,BETA_TIMING:163,
LEG_0_NOMINAL,BETA_TIMING,0.0,ADAPTIVE_GREEDY,0,0,BETA_TIMING:163,0.0,0.0,0.0,1.0,1.0,1.0,True,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:35', 'acquisition_value': 0.9780146973754873, 'metadata': {'acquisition_type': 'MODEL_MEAN', 'acquisition_value': 0.9780146973754873, 'predictive_mean': 0.9780146973754873, 'predictive_std': 0.0, 'incumbent_measured_best': 1.0, 'candidate_id': 'BETA_TIMING:35', 'beta': [-0.12, 0.12], 'trial_index': 2}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,ADAPTIVE_GREEDY,0,1,BETA_TIMING:35,-0.12,0.12,0.0,0.9780171668108555,1.0018539002898708,1.0003461138286633,False,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:34', 'acquisition_value': 0.9789769046217739, 'metadata': {'acquisition_type': 'MODEL_MEAN', 'acquisition_value': 0.9789769046217739, 'predictive_mean': 0.9789769046217739, 'predictive_std': 0.0, 'incumbent_measured_best': 1.0, 'candidate_id': 'BETA_TIMING:34', 'beta': [-0.12, 0.12], 'trial_index': 3}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,ADAPTIVE_GREEDY,0,2,BETA_TIMING:34,-0.12,0.12,-0.05,0.978979403866751,1.0026898376068671,1.0013472073973075,False,1.0,BETA_TIMING:163,"{'candidate_id': 'BETA_TIMING:33', 'acquisition_value': 0.9799362558131351, 'metadata': {'acquisition_type': 'MODEL_MEAN', 'acquisition_value': 0.9799362558131351, 'predictive_mean': 0.9799362558131351, 'predictive_std': 0.0, 'incumbent_measured_best': 1.0, 'candidate_id': 'BETA_TIMING:33', 'beta': [-0.12, 0.12], 'trial_index': 4}}"
LEG_0_NOMINAL,BETA_TIMING,0.0,ADAPTIVE_GREEDY,0,3,BETA_TIMING:33,-0.12,0.12,-0.1,0.979938736379956,1.0033768473880706,1.003075495604442,False,1.0,BETA_TIMING:163,
