family,tier,method,K_additional,improvement_pct,regret,normalized_regret,constraint_violations
KEY_POSTURE_TIMING,0.01,MODEL_INFORMED_BO_EI,2,2.1885342117531827,0.0015034046726424167,0.16666666666666666,0.3333333333333333
KEY_POSTURE_TIMING,0.01,MODEL_INFORMED_BO_EI,3,2.1885342117531827,0.0015034046726424167,0.16666666666666666,0.5
KEY_POSTURE_TIMING,0.02,REFERENCE,0,0.0,0.02469015961542838,1.0,0.0
KEY_POSTURE_TIMING,0.02,REFERENCE,1,0.0,0.02469015961542838,1.0,0.0
KEY_POSTURE_TIMING,0.02,REFERENCE,2,0.0,0.02469015961542838,1.0,0.0
KEY_POSTURE_TIMING,0.02,REFERENCE,3,0.0,0.02469015961542838,1.0,0.0
KEY_POSTURE_TIMING,0.02,RANDOM,0,0.0,0.02469015961542838,1.0,0.0
KEY_POSTURE_TIMING,0.02,RANDOM,1,0.28252791615344486,0.021864880453893936,0.8891776187858067,0.7000000000000001
KEY_POSTURE_TIMING,0.02,RANDOM,2,0.5902560836887462,0.01878759877854093,0.765359478783404,1.3499999999999999
KEY_POSTURE_TIMING,0.02,RANDOM,3,0.9039619545621692,0.015650540069806696,0.6385760252504636,1.8916666666666666
KEY_POSTURE_TIMING,0.02,ADAPTIVE_GREEDY,0,0.0,0.02469015961542838,1.0,0.0
KEY_POSTURE_TIMING,0.02,ADAPTIVE_GREEDY,1,2.1885342117531827,0.00280481749789665,0.16666666666666666,0.16666666666666666
KEY_POSTURE_TIMING,0.02,ADAPTIVE_GREEDY,2,2.4690159615428495,0.0,0.0,0.16666666666666666
KEY_POSTURE_TIMING,0.02,ADAPTIVE_GREEDY,3,2.4690159615428495,0.0,0.0,0.3333333333333333
KEY_POSTURE_TIMING,0.02,PURE_BO_EI,0,0.0,0.02469015961542838,1.0,0.0
KEY_POSTURE_TIMING,0.02,PURE_BO_EI,1,1.6015173216035388,0.008674986399393,0.36880877925963257,0.3333333333333333
KEY_POSTURE_TIMING,0.02,PURE_BO_EI,2,1.6015173216035388,0.008674986399393,0.36880877925963257,0.6666666666666666
KEY_POSTURE_TIMING,0.02,PURE_BO_EI,3,1.6015173216035388,0.008674986399393,0.36880877925963257,1.0
KEY_POSTURE_TIMING,0.02,MODEL_INFORMED_BO_EI,0,0.0,0.02469015961542838,1.0,0.0
KEY_POSTURE_TIMING,0.02,MODEL_INFORMED_BO_EI,1,2.1885342117531827,0.00280481749789665,0.16666666666666666,0.16666666666666666
KEY_POSTURE_TIMING,0.02,MODEL_INFORMED_BO_EI,2,2.4690159615428495,0.0,0.0,0.16666666666666666
KEY_POSTURE_TIMING,0.02,MODEL_INFORMED_BO_EI,3,2.4690159615428495,0.0,0.0,0.3333333333333333
