case_id,subject_id,scenario_name,policy_id,iteration,policy_decision,true_local_improvement_available,missed_improvement_round,best_local_delta_J_truth,policy_complete_before_truth_audit,truth_fed_back_to_policy
heavy_leg__matched_linear,heavy_leg,matched_linear,BUNDLE_3,10,STOP,False,False,-0.00494611785343,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,BUNDLE_5,1,EXPLORE,True,True,-0.0083139930699,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,BUNDLE_5,2,EXPLOIT,True,False,-0.0083139930699,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,BUNDLE_5,3,EXPLOIT,True,False,-0.00813907535139,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,BUNDLE_5,4,EXPLOIT,True,False,-0.0079657980785,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,BUNDLE_5,5,EXPLOIT,True,False,-0.00779369496413,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,BUNDLE_5,6,EXPLORE,False,False,-0.00290338552647,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,BUNDLE_5,7,EXPLORE,False,False,-0.00290338552647,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,BUNDLE_5,8,EXPLORE,False,False,-0.00290338552647,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,BUNDLE_5,9,EXPLORE,False,False,-0.00290338552647,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,BUNDLE_5,10,EXPLORE,False,False,-0.00290338552647,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,BUNDLE_5,11,EXPLORE,False,False,-0.00290338552647,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,BUNDLE_5,12,EXPLORE,False,False,-0.00290338552647,True,False
heavy_leg__matched_linear,heavy_leg,matched_linear,BUNDLE_5,13,STOP,False,False,-0.00290338552647,True,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,SINGLE_STEP,1,STOP,False,False,-0.0017960097604,True,False
baseline__nonlinear_stiffness_mild,baseline,nonlinear_stiffness_mild,BUNDLE_2,1,STOP,False,False,-0.00358386315389,True,False
