case_id,subject_id,scenario_name,domain_coverage_percent,existing_90_percent_gate_pass,point_count,mean_e_J_abs,median_e_J_abs,decision_sign_accuracy,false_improvement_rate,mean_absolute_rank_percentile_error,within_group_spearman_rank_correlation,coverage_gate_modified
baseline__matched_linear,baseline,matched_linear,81.296758,False,43,5.36392635735e-14,5.02931030155e-14,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,81.546135,False,431,2.06189538246e-13,2.08832950932e-13,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,81.795511,False,19,5.51839276029e-14,5.66213742559e-14,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,82.044888,False,256,3.2405501893e-13,3.22852855561e-13,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,82.294264,False,185,2.10237233028e-13,1.9118040484e-13,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,82.543641,False,415,1.90081150284e-13,1.9162449405e-13,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,82.793017,False,19,3.75489113486e-14,3.31956684363e-14,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,83.790524,False,406,1.70708001648e-13,1.72639680329e-13,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,84.0399,False,19,2.88073658495e-14,2.78665979181e-14,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,84.289277,False,400,2.78570777557e-13,2.77222689249e-13,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,84.538653,False,25,6.17461637376e-14,5.88418203051e-14,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,85.53616,False,6,5.12552963035e-14,5.14588371914e-14,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,85.785536,False,400,1.50172652091e-13,1.50102152929e-13,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,86.034913,False,19,3.01045738046e-14,2.67563748935e-14,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,93.516209,True,400,2.59245402923e-13,2.58015830923e-13,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,93.765586,True,25,4.74331685041e-14,4.0079051189e-14,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,99.25187,True,96,1.88037085902e-13,1.85462756264e-13,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,99.501247,True,6406,1.3808569579e-13,1.1945999745e-13,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,99.750623,True,704,1.84541618098e-13,1.6953105586e-13,1,0,0,1,False
baseline__matched_linear,baseline,matched_linear,100,True,19,4.22293778893e-14,3.89688281643e-14,1,0,0,1,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,77.057357,False,6,2.29100050453e-06,2.27884453907e-06,1,0,3.96353547364e-05,1,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,77.306733,False,24,2.58112892184e-06,2.41921175204e-06,1,0,3.76535869996e-05,1,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,77.55611,False,110,1.34110706655e-06,1.12963245347e-06,1,0,1.2539184953e-05,1,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,77.805486,False,393,1.64412609607e-06,1.64297796479e-06,1,0,1.21023983928e-05,1,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,78.054863,False,361,1.93811360874e-06,1.98199046486e-06,1,0,2.75361411853e-05,1,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,78.304239,False,376,1.33069896483e-06,1.31346924037e-06,1,0,9.61368178713e-06,1,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,78.553616,False,304,1.93137460298e-06,1.84563329386e-06,1,0,2.64409537518e-05,1,False
baseline__nonlinear_damping_mild,baseline,nonlinear_damping_mild,78.802993,False,44,1.69957579759e-06,1.66112980771e-06,1,0,4.21576045833e-05,1,False
