hip_target_deg,direction,time_s,desired_knee_deg,actual_knee_deg,source_equality_max_abs_residual,source_equality_max_abs_force,auxiliary_joint_positions_json,finite,warning_count
110.0,DESCENDING_125_TO_100,11.3,124.552284355,123.98876728927144,0.000672895464277329,474.4230202930387,"[0.00689882740843959,0.001594602060805052,-0.0006649909315419893,0.26095914690278943,-0.01553126889617484,-0.023694432381774145,-1.8742741349528615]",True,0
110.0,DESCENDING_125_TO_100,11.32,124.5328452196352,123.97210391882692,0.0006724820663893917,474.1157341148067,"[0.006898691055317705,0.0015943655729165282,-0.0006713031767786215,0.26096219244068347,-0.015541747754940504,-0.02369147041609767,-1.873921497164788]",True,0
110.0,DESCENDING_125_TO_100,11.34,124.5129001254864,123.95500482101687,0.0006720577740173487,473.80066441569403,"[0.006898550906129421,0.0015941231515505649,-0.0006777615438487119,0.26096531654028954,-0.01555250130852588,-0.023688426160896205,-1.8735597348713098]",True,0
110.0,DESCENDING_125_TO_100,11.36,124.4924453748736,123.93746667374457,0.0006716225206156471,473.47776863392494,"[0.006898406916271915,0.0015938747654435426,-0.0006843658263264893,0.2609685197205627,-0.015563531674718285,-0.023685298641685597,-1.8731887852287301]",True,0
110.0,DESCENDING_125_TO_100,11.38,124.4714773755248,123.91948624008866,0.0006711762427649122,473.1470064042635,"[0.006898259041229706,0.001593620385024289,-0.000691115734544982,0.26097180248123947,-0.015574840917995315,-0.02368208688524743,-1.8728085874529252]",True,0
110.0,DESCENDING_125_TO_100,11.4,124.44999264,123.90106036778931,0.0006707188801642009,472.8083395517505,"[0.0068981072365653295,0.0015933599824106632,-0.0006980108954746469,0.26097516530285747,-0.01558643104982451,-0.023678789919415473,-1.8724190828098457]",True,0
110.0,DESCENDING_125_TO_100,11.42,124.4279877851152,123.88218598873902,0.0006702503756221834,472.4617320847451,"[0.0068979514579103705,0.0015930935314059274,-0.0007050508526321912,0.26097860864677275,-0.015598304028958596,-0.023675406772869164,-1.8720202146059282]",True,0
110.0,DESCENDING_125_TO_100,11.44,124.4054595313664,123.86286011847697,0.0006697706750480982,472.1071501878917,"[0.006897791660956798,0.0015928210074948556,-0.0007122350660207102,0.26098213295517725,-0.015610461761727047,-0.023671936474934315,-1.8716119281784138]",True,0
110.0,DESCENDING_125_TO_100,11.46,124.3824047023536,123.84307985568742,0.0006692797274423651,471.74456221466806,"[0.006897627801448677,0.0015925423878396603,-0.0007195629121002755,0.26098573865111396,-0.015622906102323576,-0.023668378055390883,-1.8711941708855748]",True,0
110.0,DESCENDING_125_TO_100,11.48,124.3588202242048,123.82284238170197,0.0006687774848860815,471.3739386795705,"[0.00689745983517425,0.0015922576512756594,-0.0007270336837898136,0.2609894261384927,-0.015635638853089516,-0.023664730544288037,-1.8707668920968532]",True,0
110.0,DESCENDING_125_TO_100,11.5,124.334703125,123.80214496000579,0.0006682639025309247,470.9952522497407,"[0.006897287717958374,0.001591966778306711,-0.0007346465905005946,0.2609931958021027,-0.01564866176479314,-0.02366099297176642,-1.8703300431828964]",True,0
110.0,DESCENDING_125_TO_100,11.52,124.3100505341952,123.78098493574774,0.0006677389385874918,470.6084777366075,"[0.006897111405655308,0.0015916697511004175,-0.0007424007582014557,0.2609970480076259,-0.015661976536905035,-0.023657164367887906,-1.8698835775055074]",True,0
110.0,DESCENDING_125_TO_100,11.540000000000001,124.2848596820464,123.75935973525475,0.0006672025543142624,470.21359208671885,"[0.006896930854141913,0.0015913665534831134,-0.0007502952295156382,0.26100098310164827,-0.015675584817869126,-0.023653243762472624,-1.8694274504074953]",True,0
110.0,DESCENDING_125_TO_100,11.56,124.2591278990336,123.73726686554996,0.0006666547140050313,469.8105743725481,"[0.006896746019311179,0.0015910571709345878,-0.0007583289638501569,0.2610050014116701,-0.01568948820536987,-0.02364923018494359,-1.868961619202429]",True,0
110.0,DESCENDING_125_TO_100,11.58,124.2328526152848,123.71470391387523,0.0006660953849759758,469.3994057827887,"[0.006896556857066125,0.0015907415905825574,-0.0007665008375576032,0.26100910324611587,-0.01570368824659551,-0.023645122664178852,-1.8684860431642953]",True,0
110.0,DESCENDING_125_TO_100,11.6,124.20603136,123.69166854721682,0.0006655245375531919,468.9800696121812,"[0.006896363323314114,0.001590419801196925,-0.0007748096441299971,0.2610132888943428,-0.015718186438496602,-0.023640920228371203,-1.8680006835170597]",True,0
110.0,DESCENDING_125_TO_100,11.620000000000001,124.1786617608752,123.66815851183632,0.000664942145058172,468.552551251054,"[0.006896165373961508,0.0015900917931837776,-0.0007832540944254996,0.2610175586266478,-0.01573298422804124,-0.023636621904895672,-1.8675055034241297]",True,0
110.0,DESCENDING_125_TO_100,11.64,124.1507415435264,123.64417163280449,0.000664348183793957,468.1168381746396,"[0.006895962964908726,0.0015897575585791417,-0.0007918328169277864,0.26102191269427494,-0.015748083012465764,-0.023632226720184724,-1.8670004679777203]",True,0
110.0,DESCENDING_125_TO_100,11.66,124.1222685309136,123.61970581353985,0.0006637426330302646,467.672919931636,"[0.0068957560520456675,0.0015894170910424861,-0.000800544358038314,0.26102635132942065,-0.01576348413952141,-0.023627733699611356,-1.8664855441881172]",True,0
110.0,DESCENDING_125_TO_100,11.68,124.0932406427648,123.59475903535089,0.0006631254749880624,467.22078813277557,"[0.006895544591247537,0.0015890703858499884,-0.0008093871824012095,0.26103087474523845,-0.01577918890771714,-0.023623141867380196,-1.8659607009728476]",True,0
110.0,DESCENDING_125_TO_100,11.700000000000001,124.063655895,123.56932935698255,0.0006624966948235887,466.7604364388095,"[0.006895328538371021,0.0015887174398875304,-0.0008183596732615409,0.26103548313584346,-0.015795198566558418,-0.02361845024642661,-1.8654259091457468]",True,0
