subject_i,subject_j,spearman_rank_correlation,kendall_tau_b
MYOLEG_VP_006,MYOLEG_VP_010,0.9999664290980587,0.996194871794872
MYOLEG_VP_006,MYOLEG_VP_011,0.9999599410174491,0.9957641025641026
MYOLEG_VP_006,MYOLEG_VP_013,0.9999717375276482,0.9966358974358975
MYOLEG_VP_006,MYOLEG_VP_014,0.9999927254853773,0.9989128205128207
MYOLEG_VP_006,MYOLEG_VP_015,0.9999839764069797,0.9977948717948718
MYOLEG_VP_006,MYOLEG_VP_017,0.9999924305726224,0.9988410256410257
MYOLEG_VP_006,MYOLEG_VP_018,0.9999975915458345,0.9995589743589745
MYOLEG_VP_006,MYOLEG_VP_019,0.9999894322929468,0.9984923076923078
MYOLEG_VP_006,MYOLEG_VP_021,0.9999074465470632,0.9928820512820514
MYOLEG_VP_006,MYOLEG_VP_022,0.9999800442369133,0.9973743589743591
MYOLEG_VP_006,MYOLEG_VP_023,0.999978422216761,0.9971794871794873
MYOLEG_VP_006,MYOLEG_VP_025,0.9998872941754732,0.9920000000000001
MYOLEG_VP_006,MYOLEG_VP_026,0.9998448758908823,0.9904410256410258
MYOLEG_VP_006,MYOLEG_VP_027,0.9999110838043747,0.9930358974358976
MYOLEG_VP_006,MYOLEG_VP_029,0.999985352666503,0.9979794871794874
MYOLEG_VP_006,MYOLEG_VP_030,0.9999149668223152,0.9931794871794873
MYOLEG_VP_006,MYOLEG_VP_031,0.9999965101990662,0.999446153846154
MYOLEG_VP_007,MYOLEG_VP_009,0.9999054804620301,0.9928512820512821
MYOLEG_VP_007,MYOLEG_VP_010,0.9999971491767019,0.9994769230769233
MYOLEG_VP_007,MYOLEG_VP_011,0.9999938559842714,0.9990461538461539
MYOLEG_VP_007,MYOLEG_VP_013,0.9999989678053577,0.9997948717948719
MYOLEG_VP_007,MYOLEG_VP_014,0.9999833374293439,0.9978051282051282
MYOLEG_VP_007,MYOLEG_VP_015,0.9999386089948392,0.9945128205128206
MYOLEG_VP_007,MYOLEG_VP_017,0.9999565495207668,0.9955589743589744
MYOLEG_VP_007,MYOLEG_VP_018,0.9999669206193169,0.9962769230769233
MYOLEG_VP_007,MYOLEG_VP_019,0.9999871712951586,0.9982256410256412
MYOLEG_VP_007,MYOLEG_VP_021,0.9999664290980587,0.9961641025641027
MYOLEG_VP_007,MYOLEG_VP_022,0.9999314819365939,0.9940923076923078
MYOLEG_VP_007,MYOLEG_VP_023,0.9999294666994348,0.9938974358974361
MYOLEG_VP_007,MYOLEG_VP_025,0.9997846153846155,0.9887179487179488
MYOLEG_VP_007,MYOLEG_VP_026,0.9997260260506268,0.9871589743589746
MYOLEG_VP_007,MYOLEG_VP_027,0.9999681494224626,0.9963179487179488
MYOLEG_VP_007,MYOLEG_VP_029,0.9999913000737283,0.9987384615384617
MYOLEG_VP_007,MYOLEG_VP_030,0.9998254116490539,0.989897435897436
MYOLEG_VP_007,MYOLEG_VP_031,0.9999784713688867,0.997271794871795
MYOLEG_VP_009,MYOLEG_VP_010,0.9998943229294667,0.9923282051282053
MYOLEG_VP_009,MYOLEG_VP_011,0.9998825264192678,0.991897435897436
MYOLEG_VP_009,MYOLEG_VP_013,0.9999045957237652,0.9927692307692308
