rom_protocol_version,theta_shank_definition,q_hip_rad,q_knee_rad,theta_shank_rad,q_hip_deg,q_knee_deg,x_knee,z_knee,x_pull,z_pull,reachable,near_singular,jacobian_determinant,jacobian_condition_number,jacobian_near_singular,jacobian_mapping_valid
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,1.0821041362364843,-0.06981317007977306,58.0,62.0,0.22256609097794605,0.35618020038569886,0.5218353060558933,0.33525325826246133,True,False,0.11125139670022481,4.018100323763449,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,1.0995574287564276,-0.08726646259971638,58.0,63.0,0.22256609097794605,0.35618020038569886,0.5214245004054697,0.33003347756140144,True,False,0.1122668220477343,3.939811583708444,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,1.117010721276371,-0.1047197551196597,58.0,64.0,0.22256609097794605,0.35618020038569886,0.520922659588428,0.32482166140540286,True,False,0.11324804983369499,3.863721404661738,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,1.1344640137963142,-0.12217304763960302,58.0,65.0,0.22256609097794605,0.35618020038569886,0.5203299364703426,0.3196193973641546,True,False,0.11419478116661784,3.7897273471461954,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,1.1519173063162575,-0.13962634015954634,58.0,66.0,0.22256609097794605,0.35618020038569886,0.5196465116004172,0.31442827009767926,True,False,0.11510672766296767,3.717733160583721,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,1.1693705988362009,-0.15707963267948966,58.0,67.0,0.22256609097794605,0.35618020038569886,0.5188725931564874,0.3092498608736296,True,False,0.11598361153500746,3.647648321204624,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,1.1868238913561442,-0.17453292519943298,58.0,68.0,0.22256609097794605,0.35618020038569886,0.5180084168816084,0.30408574708561975,True,False,0.11682516567541516,3.5793876107244986,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,1.2042771838760873,-0.19198621771937607,58.0,69.0,0.22256609097794605,0.35618020038569886,0.5170542460122453,0.2989375017727355,True,False,0.1176311337386474,3.512870731652746,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,1.2217304763960306,-0.2094395102393194,58.0,70.0,0.22256609097794605,0.35618020038569886,0.5160103711980877,0.2938066931403711,True,False,0.1184012702190244,3.4480219555695135,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,1.239183768915974,-0.2268928027592627,58.0,71.0,0.22256609097794605,0.35618020038569886,0.5148771104135166,0.2886948840825394,True,False,0.11913534052551393,3.3847698011206804,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,1.2566370614359172,-0.24434609527920603,58.0,72.0,0.22256609097794605,0.35618020038569886,0.513654808860745,0.2836036317057986,True,False,0.11983312105318931,3.3230467388414997,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,1.2740903539558606,-0.26179938779914935,58.0,73.0,0.22256609097794605,0.35618020038569886,0.5123438388646666,0.27853448685494264,True,False,0.12049439925134248,3.262788920236373,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,1.2915436464758039,-0.27925268031909267,58.0,74.0,0.22256609097794605,0.35618020038569886,0.5109445997594417,0.27348899364059914,True,False,0.12111897368822817,3.2039359288201914,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,1.3089969389957472,-0.296705972839036,58.0,75.0,0.22256609097794605,0.35618020038569886,0.5094575177668568,0.2684686889688779,True,False,0.12170665411242261,3.1464305510715262,False,True
ROM_PROTOCOL_V2,q_hip - q_knee,1.0122909661567112,1.3264502315156905,-0.3141592653589793,58.0,76.0,0.22256609097794605,0.35618020038569886,0.507883045866492,0.2634751020732147,True,False,0.12225726151077551,3.0902185654637124,False,True
